Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand expressing cells,Delta ligand detection rate,Delta ligand expression,Delta ligand specificity,Delta receptor expressing cells,Delta receptor detection rate,Delta receptor expression,Delta receptor specificity,Delta edge expression weight,Delta edge specificity weight
CAF,ANGPT2,TEK,EMT,79.0,0.2276657060518732,0.3841184677614894,0.2636642944357644,12.0,0.01214574898785425,0.01520818191388842,0.033905660688771384,0.005841743534200814,0.008939712102883345
EMT,CTF1,IL6ST,DC,23.0,0.02327935222672065,0.033704588101610235,0.1804818364896925,6.0,0.09375,0.1733030600395694,0.04645097894776015,0.0058411082553823145,0.008383557987235795
ETC,C1QA,CD93,EMT,130.0,0.2882483370288249,0.3701259765178906,0.08508466823058768,10.0,0.010121457489878541,0.0157793667937785,0.008871665716030519,0.005840353543381245,0.0007548427341011357
EMT,ICAM1,IL2RA,CAF,195.0,0.1973684210526316,0.2743188378059387,0.08175294201629943,5.0,0.01440922190201729,0.02128233073838389,0.024045063998734392,0.005838144233955074,0.001965754722866741
TAM,CXCL16,CXCR6,EMT,480.0,0.8094435075885329,1.380240275295377,0.4168878716977606,3.0,0.003036437246963563,0.004229398712418048,0.007359464217358675,0.005837586443161798,0.003068071374410483
TIL,INHBA,ACVR1,TAM,4.0,0.038461538461538464,0.0652380280103977,0.028996086461070488,33.0,0.05564924114671164,0.0894622187698411,0.08009354824267187,0.005836338733979221,0.002322399449818434
TAM,SAA1,CD36,EMT,107.0,0.1804384485666105,0.2911623932438362,0.1746120861745543,13.0,0.0131578947368421,0.020034524491200908,0.01618763875414261,0.005833300098360307,0.002826557373100905
TAM,NID1,ITGAV,EMT,4.0,0.0067453625632377745,0.009511391102893865,0.005550993459598895,421.0,0.4261133603238866,0.6122772375630366,0.184148570957978,0.0058236082698614995,0.001022207512982219
Endo,LAMC2,ITGB4,TIL,7.0,0.1272727272727273,0.1824933583551156,0.0851606508691322,2.0,0.019230769230769232,0.03189894452769211,0.01399953522851767,0.00582134551484207,0.001192209531925911
TIL,CCL2,CCR1,DC,10.0,0.09615384615384616,0.1710434768398247,0.058989792240516474,1.0,0.015625,0.03402433702233828,0.03652102616943365,0.005819640901470708,0.002154367746145356
ETC,VEGFB,FLT1,TIL,91.0,0.2017738359201774,0.2924907017833925,0.1192691801383061,1.0,0.009615384615384616,0.01988687730083644,0.017146495937002633,0.0058167266980018685,0.0020450485126511
EMT,FGF9,FGFR1,EMT,12.0,0.01214574898785425,0.01755329744542255,0.3704638192911522,235.0,0.2378542510121457,0.3312907115315269,0.1632660320044017,0.0058152444004185705,0.06048415777686215
ETC,SELPLG,SELL,EMT,46.0,0.1019955654101996,0.1241504824616079,0.0626475916130812,33.0,0.033400809716599186,0.046836061805868585,0.02437678049014319,0.005814719669800273,0.0015271465889882161
EMT,ICAM4,ITGA4,CAF,48.0,0.048582995951417,0.06603063474984641,0.1036244902369197,19.0,0.054755043227665716,0.0879393821648237,0.09506240172043663,0.005806693223852632,0.009850792918977528
TIL,HBEGF,ERBB2,TIL,5.0,0.04807692307692308,0.09158113827308816,0.02442762511190649,3.0,0.02884615384615385,0.0634043530748449,0.058300614264087225,0.005806642826063075,0.001424145549036991
CAF,RTN4,TNFRSF19,TAM,272.0,0.7838616714697406,1.317658291802814,0.1482792350845022,2.0,0.0033726812816188873,0.004406051206854806,0.01829880918335755,0.0058056699068200325,0.002713333428665522
TIL,CDH1,PTPRM,EMT,5.0,0.04807692307692308,0.06726593182574088,0.09165974242473267,61.0,0.06174089068825911,0.08628849301898457,0.0953249689142904,0.005804275888760933,0.008737462097329509
