"","ligandreceptor_pair"
"1821","RAET1L->KLRK1"
"1822","RARRES2->CCRL2"
"1823","RARRES2->CMKLR1"
"1824","RARRES2->GPR1"
"1825","RBP3->NOTCH1"
"1826","RBP4->STRA6"
"1827","RELN->ITGA3"
"1828","RELN->ITGB1"
"1829","RELN->LRP8"
"1830","RELN->VLDLR"
"1831","REN->ATP6AP2"
"1832","RGMA->NEO1"
"1833","RGMB->NEO1"
"1834","RLN1->RXFP1"
"1835","RLN1->RXFP2"
"1836","RLN2->RXFP1"
"1837","RLN2->RXFP2"
"1838","RLN2->RXFP3"
"1839","RLN3->RXFP1"
"1840","RLN3->RXFP2"
"1841","RLN3->RXFP3"
"1842","RLN3->RXFP4"
"1843","RNASE2->TLR2"
"1844","ROBO1->ROBO1"
"1845","ROBO2->ROBO2"
"1846","RPH3A->NRXN1"
"1847","RPS19->C5AR1"
"1848","RSPO1->LGR4"
"1849","RSPO1->LGR5"
"1850","RSPO1->LGR6"
"1851","RSPO1->LRP6"
"1852","RSPO1->ZNRF3"
"1853","RSPO2->LGR4"
"1854","RSPO2->LGR5"
"1855","RSPO2->LGR6"
"1856","RSPO2->RNF43"
"1857","RSPO2->ZNRF3"
"1858","RSPO3->FZD8"
"1859","RSPO3->LGR4"
"1860","RSPO3->LGR5"
"1861","RSPO3->LGR6"
"1862","RSPO3->LRP6"
"1863","RSPO3->SDC4"
"1864","RSPO4->LGR4"
"1865","RSPO4->LGR5"
"1866","RSPO4->LGR6"
"1867","RTN4->CNTNAP1"
"1868","RTN4->LINGO1"
"1869","RTN4->RTN4R"
"1870","RTN4->RTN4RL1"
"1871","RTN4->S1PR2"
"1872","RTN4->TNFRSF19"
"1873","S100A8->TLR4"
"1874","S100A9->TLR4"
"1875","SAA1->CD36"
"1876","SAA1->FPR2"
"1877","SCGB1A1->LRP2"
"1878","SCGB3A1->MARCO"
"1879","SCGB3A2->MARCO"
"1880","SCT->SCTR"
"1881","SCT->VIPR1"
"1882","SCT->VIPR2"
"1883","SDC2->PTPRJ"
"1884","SECTM1->CD7"
"1885","SELE->CD44"
"1886","SELPLG->SELE"
"1887","SELPLG->SELL"
"1888","SELPLG->SELP"
"1889","SELPLG->SIGLEC5"
"1890","SEMA3A->NRP1"
"1891","SEMA3A->NRP2"
"1892","SEMA3A->PLXNA1"
"1893","SEMA3A->PLXNA2"
"1894","SEMA3A->PLXNA4"
"1895","SEMA3B->NRP1"
"1896","SEMA3B->NRP2"
"1897","SEMA3C->NRP1"
"1898","SEMA3C->NRP2"
"1899","SEMA3C->PLXND1"
"1900","SEMA3D->NRP1"
"1901","SEMA3E->PLXND1"
"1902","SEMA3F->NRP1"
"1903","SEMA3F->NRP2"
"1904","SEMA3F->PLXNA3"
"1905","SEMA3G->NRP2"
"1906","SEMA4A->LILRB2"
"1907","SEMA4A->PLXNB1"
"1908","SEMA4A->PLXNB2"
"1909","SEMA4A->PLXND1"
"1910","SEMA4B->DCBLD2"
"1911","SEMA4C->PLXNB2"
"1912","SEMA4D->CD72"
"1913","SEMA4D->ERBB2"
"1914","SEMA4D->MET"
"1915","SEMA4D->PLXNB1"
"1916","SEMA4D->PLXNB2"
"1917","SEMA4G->PLXNB2"
"1918","SEMA5A->MET"
"1919","SEMA5A->PLXNB3"
"1920","SEMA6A->PLXNA2"
"1921","SEMA6A->PLXNA4"
"1922","SEMA6B->PLXNA2"
"1923","SEMA6D->KDR"
"1924","SEMA6D->PLXNA1"
"1925","SEMA6D->TREM2"
"1926","SEMA6D->TYROBP"
"1927","SEMA7A->ITGA1"
"1928","SEMA7A->ITGB1"
"1929","SEMA7A->PLXNC1"
"1930","SERPINA1->LRP1"
"1931","SERPINC1->LRP1"
"1932","SERPINC1->SDC2"
"1933","SERPINE1->LRP1"
"1934","SERPINE1->LRP2"
"1935","SERPINE2->LRP1"
"1936","SERPINF1->PLXDC1"
"1937","SERPINF1->PLXDC2"
"1938","SERPING1->LRP1"
"1939","SERPING1->SELE"
"1940","SERPING1->SELP"
"1941","SERTAD1->AR"
"1942","SFRP1->FZD2"
"1943","SFRP1->FZD6"
"1944","SFRP2->FZD5"
"1945","SFTPA1->TLR2"
"1946","SFTPA2->CD93"
"1947","SFTPD->LAIR1"
"1948","SFTPD->SIRPA"
"1949","SHANK1->ADGRL1"
"1950","SHANK1->SSTR2"
"1951","SHH->BOC"
"1952","SHH->CDON"
"1953","SHH->GAS1"
"1954","SHH->GPC5"
"1955","SHH->HHIP"
"1956","SHH->LRP2"
"1957","SHH->PTCH1"
"1958","SHH->PTCH2"
"1959","SHH->SMO"
"1960","SIGLEC1->SPN"
"1961","SIRPA->CD47"
"1962","SIRPB2->CD47"
"1963","SIRPG->CD47"
"1964","SLAMF1->SLAMF1"
"1965","SLAMF6->SLAMF6"
"1966","SLAMF7->SLAMF7"
"1967","SLIT1->GPC1"
"1968","SLIT1->ROBO1"
"1969","SLIT1->ROBO2"
"1970","SLIT1->SDC1"
"1971","SLIT2->APP"
"1972","SLIT2->GPC1"
"1973","SLIT2->ROBO1"
"1974","SLIT2->ROBO2"
"1975","SLIT2->ROBO4"
"1976","SLIT2->SDC1"
"1977","SLIT3->ROBO1"
"1978","SLIT3->ROBO2"
"1979","SLIT3->ROBO4"
"1980","SLITRK1->PTPRD"
"1981","SLITRK1->PTPRS"
"1982","SLITRK2->PTPRD"
"1983","SLITRK2->PTPRS"
"1984","SLITRK3->PTPRD"
"1985","SLITRK3->PTPRS"
"1986","SLITRK5->PTPRD"
"1987","SLITRK6->PTPRS"
"1988","SLPI->PLSCR1"
"1989","SLPI->PLSCR4"
"1990","SLURP1->CHRNA7"
"1991","SNCA->LAG3"
"1992","SOST->LRP4"
"1993","SOST->LRP5"
"1994","SOST->LRP6"
"1995","SOSTDC1->LRP4"
"1996","SOSTDC1->LRP5"
"1997","SOSTDC1->LRP6"
"1998","SPINK1->EGFR"
"1999","SPN->SIGLEC1"
"2000","SPON1->APP"
"2001","SPON1->LRP8"
"2002","SPON2->ITGA4"
"2003","SPON2->ITGA5"
"2004","SPON2->ITGAM"
"2005","SPON2->ITGB1"
"2006","SPON2->ITGB2"
"2007","SPP1->CD44"
"2008","SPP1->ITGA4"
"2009","SPP1->ITGA9"
"2010","SPP1->ITGAV"
"2011","SPP1->ITGB1"
"2012","SPP1->ITGB3"
"2013","SPP1->ITGB5"
"2014","SPX->GALR2"
"2015","SPX->GALR3"
"2016","SST->SSTR1"
"2017","SST->SSTR2"
"2018","SST->SSTR3"
"2019","SST->SSTR4"
"2020","SST->SSTR5"
"2021","ST6GAL1->CD22"
"2022","TAC1->TACR1"
"2023","TAC1->TACR2"
"2024","TAC1->TACR3"
"2025","TAC3->TACR1"
"2026","TAC3->TACR2"
"2027","TAC3->TACR3"
"2028","TAC4->TACR1"
"2029","TAC4->TACR2"
"2030","TAC4->TACR3"
"2031","TAFA4->FPR1"
"2032","TCN1->CD320"
"2033","TCTN1->TMEM67"
"2034","TDGF1->ACVR1B"
"2035","TDGF1->ACVR2A"
"2036","TF->TFR2"
"2037","TF->TFRC"
"2038","TFF2->CXCR4"
"2039","TFF3->ACKR3"
"2040","TFF3->CXCR4"
"2041","TFPI->LRP1"
"2042","TFPI->VLDLR"
"2043","TG->ASGR1"
"2044","TG->LRP2"
"2045","TGFA->EGFR"
"2046","TGFA->ERBB2"
"2047","TGFA->ERBB4"
"2048","TGFB1->ACVRL1"
"2049","TGFB1->ENG"
"2050","TGFB1->ITGAV"
"2051","TGFB1->ITGB6"
"2052","TGFB1->ITGB8"
"2053","TGFB1->SDC2"
"2054","TGFB1->TGFBR1"
"2055","TGFB1->TGFBR2"
"2056","TGFB1->TGFBR3"
"2057","TGFB1->VASN"
"2058","TGFB2->ACVR1"
"2059","TGFB2->ENG"
"2060","TGFB2->TGFBR1"
"2061","TGFB2->TGFBR2"
"2062","TGFB2->TGFBR3"
"2063","TGFB3->ACVRL1"
"2064","TGFB3->ENG"
"2065","TGFB3->TGFBR1"
"2066","TGFB3->TGFBR2"
"2067","TGFB3->TGFBR3"
"2068","TGM2->ADGRG1"
"2069","TGM2->ITGB1"
"2070","TGM2->ITGB3"
"2071","TGM2->SDC4"
"2072","THBS1->CD36"
"2073","THBS1->CD47"
"2074","THBS1->ITGA2B"
"2075","THBS1->ITGA3"
"2076","THBS1->ITGA4"
"2077","THBS1->ITGA6"
"2078","THBS1->ITGB1"
"2079","THBS1->ITGB3"
"2080","THBS1->LRP1"
"2081","THBS1->PTPRJ"
"2082","THBS1->SDC1"
"2083","THBS1->SDC4"
"2084","THBS1->TNFRSF11B"
"2085","THBS2->CD47"
"2086","THBS2->ITGA4"
"2087","THBS2->ITGA6"
"2088","THBS2->ITGB1"
"2089","THBS2->NOTCH3"
"2090","THPO->MPL"
"2091","TIGIT->NECTIN2"
"2092","TIGIT->PVR"
"2093","TIMD4->HAVCR1"
"2094","TIMP1->CD63"
"2095","TIMP2->ITGA3"
"2096","TIMP2->ITGB1"
"2097","TIMP3->AGTR2"
"2098","TIMP3->KDR"
"2099","TNC->CNTN1"
"2100","TNC->EGFR"
"2101","TNC->ITGA7"
"2102","TNC->ITGAV"
"2103","TNC->ITGB1"
"2104","TNC->ITGB3"
"2105","TNC->PTPRB"
"2106","TNC->PTPRZ1"
"2107","TNF->TNFRSF1A"
"2108","TNF->TNFRSF1B"
"2109","TNF->TNFRSF21"
"2110","TNFRSF14->BTLA"
"2111","TNFRSF14->CD160"
"2112","TNFSF10->TNFRSF10A"
"2113","TNFSF10->TNFRSF10B"
"2114","TNFSF10->TNFRSF10C"
"2115","TNFSF10->TNFRSF10D"
"2116","TNFSF10->TNFRSF11B"
"2117","TNFSF11->TNFRSF11A"
"2118","TNFSF11->TNFRSF11B"
"2119","TNFSF12->CD163"
"2120","TNFSF12->TNFRSF12A"
"2121","TNFSF13->FAS"
"2122","TNFSF13->SDC2"
"2123","TNFSF13->TNFRSF11B"
"2124","TNFSF13->TNFRSF13B"
"2125","TNFSF13->TNFRSF14"
"2126","TNFSF13->TNFRSF17"
"2127","TNFSF13->TNFRSF1A"
"2128","TNFSF13B->TNFRSF13B"
"2129","TNFSF13B->TNFRSF13C"
"2130","TNFSF13B->TNFRSF17"
"2131","TNFSF14->LTBR"
"2132","TNFSF14->TNFRSF14"
"2133","TNFSF14->TNFRSF6B"
"2134","TNFSF15->TNFRSF25"
"2135","TNFSF15->TNFRSF6B"
"2136","TNFSF18->TNFRSF18"
"2137","TNFSF4->TNFRSF4"
"2138","TNFSF8->TNFRSF8"
"2139","TNFSF9->TNFRSF9"
"2140","TOR2A->ATP5F1B"
"2141","TRH->TRHR"
"2142","TSHB->TSHR"
"2143","TSLP->CRLF2"
"2144","TSLP->IL7R"
"2145","UCN->CRHR1"
"2146","UCN->CRHR2"
"2147","UCN2->CRHR1"
"2148","UCN2->CRHR2"
"2149","UCN2->IL10RB"
"2150","UCN3->CRHR1"
"2151","UCN3->CRHR2"
"2152","UCN3->IL10RB"
"2153","ULBP1->KLRK1"
"2154","ULBP2->KLRK1"
"2155","ULBP3->KLRK1"
"2156","UTS2->UTS2R"
"2157","UTS2B->UTS2R"
"2158","VASP->CXCR2"
"2159","VCAM1->ITGA4"
"2160","VCAM1->ITGA9"
"2161","VCAM1->ITGAD"
"2162","VCAM1->ITGB1"
"2163","VCAM1->ITGB2"
"2164","VCAM1->ITGB7"
"2165","VCAN->CD44"
"2166","VCAN->EGFR"
"2167","VCAN->ITGB1"
"2168","VCAN->SELP"
"2169","VCAN->TLR2"
"2170","VEGFA->FLT1"
"2171","VEGFA->GPC1"
"2172","VEGFA->KDR"
"2173","VEGFA->NRP1"
"2174","VEGFA->NRP2"
"2175","VEGFB->FLT1"
"2176","VEGFB->NRP1"
"2177","VEGFC->FLT4"
"2178","VEGFC->KDR"
"2179","VEGFC->NRP2"
"2180","VEGFC->VIPR2"
"2181","VEGFD->FLT4"
"2182","VEGFD->ITGA9"
"2183","VEGFD->KDR"
"2184","VEGFD->NRP2"
"2185","VIM->CD44"
"2186","VIP->ADCYAP1R1"
"2187","VIP->SCTR"
"2188","VIP->VIPR1"
"2189","VIP->VIPR2"
"2190","VTN->ITGA5"
"2191","VTN->ITGA8"
"2192","VTN->ITGAV"
"2193","VTN->ITGB3"
"2194","VTN->ITGB6"
"2195","VTN->ITGB8"
"2196","VTN->PLAUR"
"2197","VTN->PVR"
"2198","VTN->TNFRSF11B"
"2199","VWF->GP1BA"
"2200","VWF->ITGA2B"
"2201","VWF->TNFRSF11B"
"2202","WNT1->FZD1"
"2203","WNT1->FZD10"
"2204","WNT1->FZD2"
"2205","WNT1->FZD3"
"2206","WNT1->FZD4"
"2207","WNT1->FZD8"
"2208","WNT1->FZD9"
"2209","WNT1->LRP6"
"2210","WNT1->ROR2"
"2211","WNT1->RYK"
"2212","WNT10A->FZD1"
"2213","WNT10A->FZD5"
"2214","WNT10A->FZD8"
"2215","WNT10B->FZD7"
"2216","WNT11->FZD7"
"2217","WNT11->FZD8"
"2218","WNT16->FZD2"
"2219","WNT16->LRP5"
"2220","WNT2->FZD1"
"2221","WNT2->FZD2"
"2222","WNT2->FZD3"
"2223","WNT2->FZD4"
"2224","WNT2->FZD5"
"2225","WNT2->FZD7"
"2226","WNT2->FZD8"
"2227","WNT2->FZD9"
"2228","WNT2B->FZD4"
"2229","WNT2B->FZD7"
"2230","WNT3->FZD1"
"2231","WNT3->FZD7"
"2232","WNT3->FZD8"
"2233","WNT3->LRP6"
"2234","WNT3->RYK"
"2235","WNT3A->APCDD1"
"2236","WNT3A->FZD1"
"2237","WNT3A->FZD10"
"2238","WNT3A->FZD2"
"2239","WNT3A->FZD5"
"2240","WNT3A->FZD6"
"2241","WNT3A->FZD7"
"2242","WNT3A->FZD8"
"2243","WNT3A->LRP1"
"2244","WNT3A->LRP6"
"2245","WNT3A->RYK"
"2246","WNT4->FZD2"
"2247","WNT4->FZD6"
"2248","WNT5A->FZD1"
"2249","WNT5A->FZD2"
"2250","WNT5A->FZD3"
"2251","WNT5A->FZD4"
"2252","WNT5A->FZD5"
"2253","WNT5A->FZD6"
"2254","WNT5A->FZD7"
"2255","WNT5A->FZD8"
"2256","WNT5A->LRP5"
"2257","WNT5A->MCAM"
"2258","WNT5A->ROR1"
"2259","WNT5A->ROR2"
"2260","WNT5A->RYK"
"2261","WNT5B->FZD2"
"2262","WNT5B->FZD8"
"2263","WNT6->FZD7"
"2264","WNT7A->FZD1"
"2265","WNT7A->FZD10"
"2266","WNT7A->FZD5"
"2267","WNT7A->FZD9"
"2268","WNT7B->FZD1"
"2269","WNT7B->FZD10"
"2270","WNT7B->FZD4"
"2271","WNT7B->FZD5"
"2272","WNT7B->FZD8"
"2273","WNT7B->LRP5"
"2274","WNT8A->FZD4"
"2275","WNT8A->FZD5"
"2276","WNT8A->FZD8"
"2277","WNT9A->FZD10"
"2278","WNT9A->FZD4"
"2279","WNT9B->FZD10"
"2280","WNT9B->FZD4"
"2281","WNT9B->FZD5"
"2282","WNT9B->FZD8"
"2283","XCL1->XCR1"
"2284","XCL2->XCR1"
"2285","YBX1->NOTCH1"
"2286","ZG16B->CXCR4"
"2287","ZG16B->TLR2"
"2288","ZG16B->TLR4"
"2289","ZG16B->TLR5"
"2290","ZG16B->TLR6"
"2291","ZP3->CHRNA7"
"2292","ZP3->EGFR"
"2293","ZP3->MERTK"
