LR,pval,hr,median_day_low,median_day_high,diff_day
CD48->CD2,0.036341181657082555,1.5590454012104924,437,590,153
THBS1->PTPRJ,0.03724815818092475,0.678218693076388,632,446,-186
VIP->VIPR1,0.03815985876883843,1.5948645039648188,455,643,188
THBS1->CD36,0.038748348432295354,0.6945570055941332,632,446,-186
ADM2->RAMP3,0.03883835619102671,1.423838905349115,456,653,197
THBS1->SDC4,0.039471343309026574,0.6754711746368016,629.5,446,-183.5
EDN3->EDNRB,0.039662224673809865,1.4281586693144477,422,590,168
NTS->SORT1,0.03976347852304862,1.44162278088164,413,633,220
COL4A3->CD93,0.0408597393255099,1.432836580650557,440.5,608,167.5
ADCYAP1->SCTR,0.04142759033504406,1.5359432125117856,463,573,110
CD34->SELL,0.04205104637766932,1.4122050775751593,437,627,190
ADAM23->ITGA5,0.04237277247171456,0.6802530220935953,608.5,455,-153.5
FN1->NT5E,0.04253501660985004,0.704243790107832,588.5,456,-132.5
SPP1->ITGB5,0.04267042799570708,0.6434984935817256,608.5,444,-164.5
DSC3->DSG3,0.04276793232692688,0.6530539703418144,617.5,456,-161.5
FGF2->FGFR2,0.04281675158027176,1.5467177523806768,446,628,182
THBS2->ITGB1,0.04296954555468313,0.6848176056615057,626,444,-182
VEGFA->NRP2,0.04305598208934969,0.6651412257702708,583,446,-137
EFNA1->EPHA2,0.04341485542880941,0.5794043584333273,543,503,-40
DSC1->DSG4,0.04341635006962363,0.6584115060362494,627.5,444,-183.5
ANGPTL2->ITGA5,0.044303071714137165,0.6942916720826766,589.5,455,-134.5
ANXA1->DYSF,0.04433449793258348,0.687237228286427,643,437,-206
ANGPT1->TEK,0.04440658923468499,1.3993250035406304,440.5,579,138.5
SHH->LRP2,0.04444362334220975,1.3443928368122766,450.5,628,177.5
COL9A3->MAG,0.04459759243289485,1.4680690539673904,450.5,628,177.5
FGA->ITGA2B,0.04469519624712637,0.7495222859847452,630.5,455,-175.5
CXCL14->CXCR4,0.04518475464631,1.4590732083988092,467,608.5,141.5
IL31->IL31RA,0.0455189911699434,0.6989804903798502,628,455.5,-172.5
FGB->ITGA2B,0.04660138117972967,0.676575707460734,588.5,456,-132.5
LAMA2->ITGB1,0.04669139412160572,0.6550073586147409,607,445,-162
PGF->NRP2,0.047483950697840616,0.6844389900287099,626.5,456,-170.5
NTF4->NTRK1,0.04762210853185389,0.7125833415228088,632,437,-195
PMCH->MCHR1,0.04780619040345968,0.6832556995102786,589.5,456,-133.5
FGA->ITGB3,0.048148278414489876,0.7240678427879177,640,446,-194
ICAM2->ITGB2,0.048158391600261696,0.675736269905482,607,463,-144
TFPI->LRP1,0.048218563195212005,1.3764513806318188,483,590,107
FGF20->FGFR2,0.048324394298703166,1.5318496734238687,437,633,196
HRAS->CAV1,0.048690081810885966,0.7038762283835834,628,455,-173
RELN->LRP8,0.049751367361283716,1.3358097173063765,445,587,142
GZMB->IGF2R,0.04978772386784769,1.3529915313877128,459.5,625,165.5
ALCAM->NRP1,0.04997037452805053,0.7398658219331623,626,456,-170
LRPAP1->LRP8,0.050574113736883364,1.2830828708269553,456,592,136
RAET1G->KLRK1,0.05116282892480706,0.7075155781620396,584.5,455,-129.5
NRTN->RET,0.05124444621328439,1.3333640442484958,450.5,590,139.5
NMU->NMUR1,0.05125197457998987,0.721135203972532,607.5,456,-151.5
PYY->FAP,0.051311523307559725,0.6665610014099025,588.5,480,-108.5
NMU->NMUR2,0.051514360212887134,0.6930743640326409,618,446,-172
ANXA1->EGFR,0.05170233278656555,0.7226440931936599,617.5,437,-180.5
SERPINA1->LRP1,0.051919358568513596,1.2825965703136972,455.5,592,136.5
NTNG2->LRRC4,0.05215136833928691,1.4417552878227424,561,512,-49
SEMA6D->PLXNA1,0.052481097352244266,0.6352204087799211,588.5,456,-132.5
ADAM9->ITGA6,0.05287125243224888,0.8102016284085956,617.5,437,-180.5
SHH->GPC5,0.05291267120373433,1.3655112626570118,455.5,633,177.5
TNF->TNFRSF21,0.052930517832683766,0.727900414445443,600,444,-156
RELN->ITGA3,0.05313881342067572,0.6731335757206917,626,444,-182
ADM2->CALCRL,0.05337292254745629,1.3794170950230893,456,629,173
TNFSF11->TNFRSF11A,0.053467182317281314,1.2829922829196398,450.5,625,174.5
CXCL3->CXCR2,0.053649084888654164,1.5124535224108746,450.5,587,136.5
SPON2->ITGA5,0.05365135612013994,0.6903356041895048,589.5,456,-133.5
TNC->ITGB1,0.0543930493832705,0.6498316185535836,607,444,-163
BTLA->VTCN1,0.05463617403498855,1.4090665831763358,455.5,579,123.5
CD48->CD244,0.05477803093218803,1.5504181201793137,446,590,144
CD244->CD48,0.05477803093218803,1.5504181201793137,446,590,144
SPON2->ITGB2,0.05520743067285083,0.6747108168705171,576.5,480,-96.5
DSC2->DSG4,0.056042899364971754,0.6435239236914814,583.5,456,-127.5
CAMP->FPR2,0.056696412048032996,0.6701547923783924,606,463,-143
LTA->TNFRSF1A,0.056920007807398254,0.7815931833672103,608.5,456,-152.5
FGG->ITGB2,0.05704299154308479,0.6998596240907954,607,456,-151
WNT10A->FZD1,0.05753958777655477,0.7614545217533812,582.5,455,-127.5
LAMA2->DAG1,0.057635229962805345,1.3507626458431399,456,616.5,160.5
DKK1->LRP4,0.05784052789283178,0.6857597171940262,608,450.5,-157.5
