Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
ETC,LPL,SDC1,EMT,1,0.02631578947368421,0.04966866108306552,1.88740912115649,0.03975069968137113,0.1748839174413297,145,0.4849498327759197,0.7453440495063911,222.8578708024108,0.3428153041437294,0.8247392448209735,0.03702024098521255,0.01362714820119529,420.6239780739847,0.1442336300018958
ETC,LPL,SDC1,ETC,1,0.02631578947368421,0.04966866108306552,1.88740912115649,0.03975069968137113,0.1748839174413297,25,0.6578947368421053,1.04949761762634,39.8809094698009,0.4827084152921892,0.1475889141382814,0.05212714147736735,0.01918799724995039,75.27159229331846,0.0258109274754147
ETC,LPL,SDC1,Endo,1,0.02631578947368421,0.04966866108306552,1.88740912115649,0.03975069968137113,0.1748839174413297,1,0.07692307692307693,0.1650974545949877,2.14626690973484,0.07593531356132596,0.0079427778069744,0.008200169517955243,0.003018481844587017,4.05088374186989,0.001389064098249737
TAM,LPL,SDC1,CAF,1,0.5,1.038672186044555,2.07734437208911,0.8312675484809358,0.1924829744613283,2,0.05714285714285714,0.1058708310491443,3.70547908672005,0.04869448031428952,0.01371301813428411,0.1099650875241684,0.04047814127541263,7.697556126691791,0.002639522519329141
TAM,LPL,SDC1,DC,1,0.5,1.038672186044555,2.07734437208911,0.8312675484809358,0.1924829744613283,1,0.06666666666666667,0.1083755065569387,1.62563259835408,0.04984648668846601,0.006016045099486778,0.1125666243091815,0.04143576678990873,3.376998729275444,0.001157986255242713
TAM,LPL,SDC1,EMT,1,0.5,1.038672186044555,2.07734437208911,0.8312675484809358,0.1924829744613283,145,0.4849498327759197,0.7453440495063911,222.8578708024108,0.3428153041437294,0.8247392448209735,0.7741681332561042,0.2849712374573043,462.95254368715,0.1587482629981307
TAM,LPL,SDC1,ETC,1,0.5,1.038672186044555,2.07734437208911,0.8312675484809358,0.1924829744613283,25,0.6578947368421053,1.04949761762634,39.8809094698009,0.4827084152921892,0.1475889141382814,1.090083984748502,0.4012598410110556,82.84638284088619,0.02840835319085399
TAM,LPL,SDC1,Endo,1,0.5,1.038672186044555,2.07734437208911,0.8312675484809358,0.1924829744613283,1,0.07692307692307693,0.1650974545949877,2.14626690973484,0.07593531356132596,0.0079427778069744,0.1714821340745675,0.06312256194725459,4.458535485938755,0.001528849497771859
CAF,LPL,VLDLR,CAF,3,0.08571428571428572,0.1566674379492506,5.483360328223769,0.1253836954725927,0.508078256162374,2,0.05714285714285714,0.1210340643805934,4.23619225332077,0.08399807333134682,0.1081910552914333,0.01896209677109222,0.0105319888468621,23.22856854458797,0.0549695227048384
CAF,LPL,VLDLR,EMT,3,0.08571428571428572,0.1566674379492506,5.483360328223769,0.1253836954725927,0.508078256162374,20,0.06688963210702341,0.09513265380154867,28.44466348666305,0.06602240180169794,0.726468010893354,0.01490418913640166,0.008278132721873253,155.9723393124434,0.3691026001324438
CAF,LPL,VLDLR,ETC,3,0.08571428571428572,0.1566674379492506,5.483360328223769,0.1253836954725927,0.508078256162374,2,0.05263157894736842,0.07910200308667026,3.00587611729347,0.054897072902031,0.07676915724265437,0.01239270816024234,0.006883197871084978,16.48230185312231,0.03900473953890292
CAF,LPL,VLDLR,Endo,3,0.08571428571428572,0.1566674379492506,5.483360328223769,0.1253836954725927,0.508078256162374,1,0.07692307692307693,0.1069738610903185,1.39066019417414,0.07424024198796242,0.03551703628218143,0.01675932074455922,0.009308515893230273,7.625490938774442,0.01804543385830651
CAF,LPL,VLDLR,TAM,3,0.08571428571428572,0.1566674379492506,5.483360328223769,0.1253836954725927,0.508078256162374,1,0.5,1.038672186044555,2.07734437208911,0.7208422099769618,0.05305474029037705,0.1627261102567478,0.09038186013954212,11.39082771797234,0.02695595992788242
EMT,LPL,VLDLR,CAF,1,0.003344481605351171,0.004495786076431907,1.34424003685314,0.003598056365100322,0.1245548519349679,2,0.05714285714285714,0.1210340643805934,4.23619225332077,0.08399807333134682,0.1081910552914333,0.0005441432614162349,0.000302229802406016,5.694459230720898,0.0134757208725124
EMT,LPL,VLDLR,EMT,1,0.003344481605351171,0.004495786076431907,1.34424003685314,0.003598056365100322,0.1245548519349679,20,0.06688963210702341,0.09513265380154867,28.44466348666305,0.06602240180169794,0.726468010893354,0.0004276960603750194,0.0002375523230418102,38.2364554935871,0.09048511553231238
EMT,LPL,VLDLR,ETC,1,0.003344481605351171,0.004495786076431907,1.34424003685314,0.003598056365100322,0.1245548519349679,2,0.05263157894736842,0.07910200308667026,3.00587611729347,0.054897072902031,0.07676915724265437,0.0003556256840949259,0.000197522762580529,4.040619022686547,0.009561971013531087
EMT,LPL,VLDLR,Endo,1,0.003344481605351171,0.004495786076431907,1.34424003685314,0.003598056365100322,0.1245548519349679,1,0.07692307692307693,0.1069738610903185,1.39066019417414,0.07424024198796242,0.03551703628218143,0.0004809315952320146,0.0002671205752313763,1.869381110666841,0.004423819195295992
EMT,LPL,VLDLR,TAM,1,0.003344481605351171,0.004495786076431907,1.34424003685314,0.003598056365100322,0.1245548519349679,1,0.5,1.038672186044555,2.07734437208911,0.7208422099769618,0.05305474029037705,0.004669647951996201,0.00259363090184059,2.792449475293728,0.006608225321316091
ETC,LPL,VLDLR,CAF,1,0.02631578947368421,0.04966866108306552,1.88740912115649,0.03975069968137113,0.1748839174413297,2,0.05714285714285714,0.1210340643805934,4.23619225332077,0.08399807333134682,0.1081910552914333,0.006011599923225627,0.003338982186808157,7.995427897890084,0.01892087558147735
ETC,LPL,VLDLR,EMT,1,0.02631578947368421,0.04966866108306552,1.88740912115649,0.03975069968137113,0.1748839174413297,20,0.06688963210702341,0.09513265380154867,28.44466348666305,0.06602240180169794,0.726468010893354,0.004725111539601726,0.002624436666262111,53.6867173129548,0.1270475716408404
ETC,LPL,VLDLR,ETC,1,0.02631578947368421,0.04966866108306552,1.88740912115649,0.03975069968137113,0.1748839174413297,2,0.05263157894736842,0.07910200308667026,3.00587611729347,0.054897072902031,0.07676915724265437,0.003928890582303428,0.002182197058314971,5.67331800084615,0.01342569095726483
