LR,cell_type_pair,Edge_average_expression_weight,Patient
MDK->LRP1,Endo->CAF,0.5620178179605877,P01
MDK->LRP1,Endo->EMT,0.9116578100135592,P01
MDK->LRP1,Endo->ETC,0.2939842048640328,P01
MDK->LRP1,Endo->Endo,0.288223932253941,P01
MDK->LRP1,Endo->TAM,1.007924983061095,P01
C4BPA->LRP1,ETC->CAF,0.02654563885266873,P01
C4BPA->LRP1,ETC->EMT,0.04306009206194229,P01
C4BPA->LRP1,ETC->ETC,0.01388567814278241,P01
C4BPA->LRP1,ETC->Endo,0.01361360471109783,P01
C4BPA->LRP1,ETC->TAM,0.04760705396852451,P01
ARF1->PLD2,CAF->EMT,0.07801649890146121,P01
ARF1->PLD2,CAF->ETC,0.2072354464618827,P01
ARF1->PLD2,DC->EMT,0.06054726500483397,P01
ARF1->PLD2,DC->ETC,0.1608318711042246,P01
ARF1->PLD2,EMT->EMT,0.0648287437856825,P01
ARF1->PLD2,EMT->ETC,0.1722047752867988,P01
ARF1->PLD2,ETC->EMT,0.06953289715224178,P01
ARF1->PLD2,ETC->ETC,0.1847004311656327,P01
ARF1->PLD2,Endo->EMT,0.09087648756393221,P01
ARF1->PLD2,Endo->ETC,0.241395470680965,P01
ARF1->PLD2,TAM->EMT,0.1065145001560292,P01
ARF1->PLD2,TAM->ETC,0.2829347677134171,P01
ARF1->PLD2,TIL->EMT,0.0988786003610484,P01
ARF1->PLD2,TIL->ETC,0.2626515055133312,P01
GPC3->CD81,CAF->CAF,0.1670258110006962,P01
GPC3->CD81,CAF->DC,0.05624901330606757,P01
GPC3->CD81,CAF->EMT,0.005359846778363053,P01
GPC3->CD81,CAF->ETC,0.1927313451798558,P01
GPC3->CD81,CAF->Endo,0.2285104377214134,P01
GPC3->CD81,CAF->TAM,0.197688225343058,P01
ICOS->ICOSLG,EMT->CAF,0.002241656719878009,P01
ICOS->ICOSLG,EMT->EMT,4.106972554716022e-4,P01
ICOS->ICOSLG,TIL->CAF,0.1990509587756381,P01
ICOS->ICOSLG,TIL->EMT,0.03646842165583426,P01
ICOSLG->ICOS,CAF->EMT,0.002241656719878009,P01
ICOSLG->ICOS,CAF->TIL,0.1990509587756381,P01
ICOSLG->ICOS,EMT->EMT,4.106972554716022e-4,P01
ICOSLG->ICOS,EMT->TIL,0.03646842165583426,P01
TDGF1->ACVR1B,ETC->CAF,0.004686385838621606,P01
TDGF1->ACVR1B,ETC->EMT,0.00331388479359206,P01
TDGF1->ACVR1B,ETC->ETC,0.01552487557087146,P01
TDGF1->ACVR1B,ETC->Endo,0.004730029733045309,P01
NECTIN2->PVRIG,NA,NA,NA
DHH->BOC,NA,NA,NA
APOD->LEPR,CAF->EMT,0.004639829221584586,P01
APOD->LEPR,EMT->EMT,4.004911689092211e-4,P01
APOD->LEPR,Endo->EMT,0.001479335631461339,P01
EDN3->EDNRB,ETC->CAF,0.02177169677142316,P01
EDN3->EDNRB,ETC->EMT,7.765352870742978e-4,P01
EDN3->EDNRB,ETC->Endo,0.01312644252052959,P01
BMP8A->ACVR2A,CAF->CAF,0.002513988734499744,P01
BMP8A->ACVR2A,CAF->EMT,0.001141949171900136,P01
BMP8A->ACVR2A,CAF->ETC,0.001843580820553206,P01
BMP8A->ACVR2A,EMT->CAF,5.331716924737228e-4,P01
BMP8A->ACVR2A,EMT->EMT,2.421868341514733e-4,P01
BMP8A->ACVR2A,EMT->ETC,3.909902589527884e-4,P01
ARF1->CHRM3,NA,NA,NA
AGRP->SDC3,NA,NA,NA
SLAMF6->SLAMF6,EMT->EMT,3.533380994966658e-5,P01
SLAMF6->SLAMF6,EMT->TIL,0.001904670286967306,P01
SLAMF6->SLAMF6,TIL->EMT,0.001904670286967306,P01
SLAMF6->SLAMF6,TIL->TIL,0.1026713198272113,P01
CXCL16->CXCR6,DC->EMT,0.003990651685185043,P01
CXCL16->CXCR6,DC->TIL,0.3661237536086407,P01
CXCL16->CXCR6,EMT->EMT,5.386187889972866e-4,P01
CXCL16->CXCR6,EMT->TIL,0.04941577174573254,P01
CXCL16->CXCR6,ETC->EMT,0.01025352145028758,P01
CXCL16->CXCR6,ETC->TIL,0.9407129604978118,P01
