LR,cell_type_pair,Patient
SHH->BOC,ETC->CAF,P09
SHH->BOC,ETC->ETC,P09
SHH->BOC,ETC->Endo,P09
SEMA6A->PLXNA4,CAF->CAF,P09
SEMA6A->PLXNA4,ETC->CAF,P09
SEMA6A->PLXNA4,Endo->CAF,P09
SEMA6A->PLXNA4,TAM->CAF,P09
SHH->SMO,ETC->CAF,P09
SHH->SMO,ETC->ETC,P09
SHH->SMO,ETC->Endo,P09
NRTN->GFRA1,CAF->CAF,P09
NRTN->GFRA1,ETC->CAF,P09
NTS->SORT1,NA,NA
SHH->PTCH1,ETC->CAF,P09
SHH->PTCH1,ETC->ETC,P09
SHH->PTCH1,ETC->Endo,P09
ICOSLG->CTLA4,CAF->CAF,P09
ICOSLG->CTLA4,CAF->ETC,P09
ICOSLG->CTLA4,DC->CAF,P09
ICOSLG->CTLA4,DC->ETC,P09
ICOSLG->CTLA4,ETC->CAF,P09
ICOSLG->CTLA4,ETC->ETC,P09
ICOSLG->CTLA4,Endo->CAF,P09
ICOSLG->CTLA4,Endo->ETC,P09
ICOSLG->CTLA4,TAM->CAF,P09
ICOSLG->CTLA4,TAM->ETC,P09
SHH->PTCH2,ETC->CAF,P09
SHH->PTCH2,ETC->ETC,P09
SHH->PTCH2,ETC->Endo,P09
SHH->PTCH2,ETC->TAM,P09
FGF1->FGFR4,CAF->ETC,P09
FGF1->FGFR4,CAF->TAM,P09
FGF1->FGFR4,ETC->ETC,P09
FGF1->FGFR4,ETC->TAM,P09
FGF1->FGFR4,TAM->ETC,P09
FGF1->FGFR4,TAM->TAM,P09
RSPO2->LGR5,NA,NA
CXCL14->CXCR4,CAF->CAF,P09
CXCL14->CXCR4,CAF->DC,P09
CXCL14->CXCR4,CAF->ETC,P09
CXCL14->CXCR4,CAF->Endo,P09
CXCL14->CXCR4,CAF->TAM,P09
CXCL14->CXCR4,CAF->TIL,P09
CXCL14->CXCR4,DC->CAF,P09
CXCL14->CXCR4,DC->DC,P09
CXCL14->CXCR4,DC->ETC,P09
CXCL14->CXCR4,DC->Endo,P09
CXCL14->CXCR4,DC->TAM,P09
CXCL14->CXCR4,DC->TIL,P09
CXCL14->CXCR4,ETC->CAF,P09
CXCL14->CXCR4,ETC->DC,P09
CXCL14->CXCR4,ETC->ETC,P09
CXCL14->CXCR4,ETC->Endo,P09
CXCL14->CXCR4,ETC->TAM,P09
CXCL14->CXCR4,ETC->TIL,P09
CXCL14->CXCR4,Endo->CAF,P09
CXCL14->CXCR4,Endo->DC,P09
CXCL14->CXCR4,Endo->ETC,P09
CXCL14->CXCR4,Endo->Endo,P09
CXCL14->CXCR4,Endo->TAM,P09
CXCL14->CXCR4,Endo->TIL,P09
CXCL14->CXCR4,TAM->CAF,P09
CXCL14->CXCR4,TAM->DC,P09
CXCL14->CXCR4,TAM->ETC,P09
CXCL14->CXCR4,TAM->Endo,P09
CXCL14->CXCR4,TAM->TAM,P09
CXCL14->CXCR4,TAM->TIL,P09
RSPO1->LGR5,CAF->CAF,P09
RSPO1->LGR5,CAF->ETC,P09
RSPO1->LGR5,CAF->TAM,P09
ZG16B->CXCR4,CAF->CAF,P09
ZG16B->CXCR4,CAF->DC,P09
ZG16B->CXCR4,CAF->ETC,P09
ZG16B->CXCR4,CAF->Endo,P09
ZG16B->CXCR4,CAF->TAM,P09
ZG16B->CXCR4,CAF->TIL,P09
ZG16B->CXCR4,DC->CAF,P09
ZG16B->CXCR4,DC->DC,P09
ZG16B->CXCR4,DC->ETC,P09
ZG16B->CXCR4,DC->Endo,P09
ZG16B->CXCR4,DC->TAM,P09
ZG16B->CXCR4,DC->TIL,P09
ZG16B->CXCR4,ETC->CAF,P09
ZG16B->CXCR4,ETC->DC,P09
ZG16B->CXCR4,ETC->ETC,P09
ZG16B->CXCR4,ETC->Endo,P09
ZG16B->CXCR4,ETC->TAM,P09
ZG16B->CXCR4,ETC->TIL,P09
ZG16B->CXCR4,Endo->CAF,P09
ZG16B->CXCR4,Endo->DC,P09
ZG16B->CXCR4,Endo->ETC,P09
ZG16B->CXCR4,Endo->Endo,P09
ZG16B->CXCR4,Endo->TAM,P09
ZG16B->CXCR4,Endo->TIL,P09
ZG16B->CXCR4,TAM->CAF,P09
ZG16B->CXCR4,TAM->DC,P09
ZG16B->CXCR4,TAM->ETC,P09
ZG16B->CXCR4,TAM->Endo,P09
ZG16B->CXCR4,TAM->TAM,P09
ZG16B->CXCR4,TAM->TIL,P09
IHH->PTCH1,CAF->CAF,P09
IHH->PTCH1,CAF->ETC,P09
IHH->PTCH1,CAF->Endo,P09
IHH->PTCH1,ETC->CAF,P09
IHH->PTCH1,ETC->ETC,P09
IHH->PTCH1,ETC->Endo,P09
ANGPT1->TEK,CAF->CAF,P09
ANGPT1->TEK,CAF->ETC,P09
ANGPT1->TEK,CAF->Endo,P09
ANGPT1->TEK,Endo->CAF,P09
