barcode,annotation
cell_2989,CAF
cell_2990,TAM
cell_2991,TAM
cell_2992,TAM
cell_2993,TAM
cell_2994,CAF
cell_2995,TAM
cell_2996,TAM
cell_2997,TIL
cell_2998,TIL
cell_2999,TAM
cell_3000,TAM
cell_3001,TIL
cell_3002,ETC
cell_3003,CAF
cell_3004,TAM
cell_3005,TIL
cell_3006,ETC
cell_3007,ETC
cell_3008,ETC
cell_3009,TAM
cell_3010,TAM
cell_3011,ETC
cell_3012,CAF
cell_3013,TAM
cell_3014,TAM
cell_3015,DC
cell_3016,ETC
cell_3017,ETC
cell_3018,TIL
cell_3019,TAM
cell_3020,DC
cell_3021,TAM
cell_3022,TAM
cell_3023,TAM
cell_3024,TAM
cell_3025,TAM
cell_3026,CAF
cell_3027,TAM
cell_3028,TAM
cell_3029,TAM
cell_3030,ETC
cell_3031,TAM
cell_3032,ETC
cell_3033,ETC
cell_3034,TAM
cell_3035,TAM
cell_3036,TAM
cell_3037,CAF
cell_3038,CAF
cell_3039,TIL
cell_3040,ETC
cell_3041,DC
cell_3042,ETC
cell_3043,TAM
cell_3044,TAM
cell_3045,TAM
cell_3046,Endo
cell_3047,Endo
cell_3048,TAM
cell_3049,ETC
cell_3050,TAM
cell_3051,TIL
cell_3052,CAF
cell_3053,TAM
cell_3054,ETC
cell_3055,TAM
cell_3056,TAM
cell_3057,CAF
cell_3058,TAM
cell_3059,TAM
cell_3060,TAM
cell_3061,CAF
cell_3062,TAM
cell_3063,TIL
cell_3064,CAF
cell_3065,TAM
cell_3066,TAM
cell_3067,ETC
cell_3068,ETC
cell_3069,CAF
cell_3070,CAF
cell_3071,CAF
cell_3072,TAM
cell_3073,TAM
cell_3074,CAF
cell_3075,ETC
cell_3076,ETC
cell_3077,TAM
cell_3078,TAM
cell_3079,TAM
cell_3080,TAM
cell_3081,ETC
cell_3082,TAM
cell_3083,TAM
cell_3084,TAM
cell_3085,TAM
cell_3086,ETC
cell_3087,TAM
cell_3088,TAM
cell_3089,TAM
cell_3090,TAM
cell_3091,TAM
cell_3092,ETC
cell_3093,TAM
cell_3094,TAM
cell_3095,Endo
cell_3096,TAM
cell_3097,TIL
cell_3098,TIL
cell_3099,ETC
cell_3100,TAM
cell_3101,TAM
cell_3102,TAM
cell_3103,CAF
cell_3104,TAM
cell_3105,TAM
cell_3106,TAM
cell_3107,TAM
cell_3108,TIL
cell_3109,TAM
cell_3110,ETC
cell_3111,TAM
cell_3112,TAM
cell_3113,ETC
cell_3114,TAM
cell_3115,TAM
cell_3116,DC
cell_3117,TAM
cell_3118,ETC
cell_3119,TAM
cell_3120,TAM
cell_3121,TAM
cell_3122,TAM
cell_3123,TAM
cell_3124,TAM
cell_3125,ETC
cell_3126,TAM
cell_3127,TAM
cell_3128,TAM
cell_3129,ETC
cell_3130,CAF
cell_3131,ETC
