LR,Pval_PAAD-US,Pval_PACA-AU,Pval_PACA-CA,HR_PAAD-US,HR_PACA-AU,HR_PACA-CA,meta_Pval,adjPval
FCER2->CR2,0.010731390768969451,0.9268594982237737,0.7111585347726385,0.48394440531489613,1.0603674222950088,0.987578863533048,0.6104649718501198,0.4256734203073641
FGF18->FGFR4,0.011005699982087669,0.09896760219448131,0.009763184690589122,0.4234661582759807,0.5282571832471897,0.645510015062459,2.8610686874412026e-4,0.007496792550781332
PYY->NPY4R,0.011159592918353,0.04964338224874121,0.41373474482603834,0.4384041664234442,0.5163131565741298,1.273542419285297,0.01780987894134297,0.09686599720490835
WNT9B->FZD8,0.011161502760301811,0.006778597348098492,0.004845059818452513,0.4780008822727233,0.38438279891070115,0.6571967113281355,1.9715372782394774e-6,4.718109934908045e-4
PSAP->CD1B,0.011361871944893354,0.07397337280201155,0.9697145506559256,0.5401184327909652,0.5904195505836835,1.0977079076826481,0.1956511952541837,0.26436252211519795
PSAP->GPR37,0.011361871944893354,0.07397337280201155,0.9697145506559256,0.5401184327909652,0.5904195505836835,1.0977079076826481,0.1956511952541837,0.26436252211519795
PSAP->GPR37L1,0.011361871944893354,0.07397337280201155,0.9697145506559256,0.5401184327909652,0.5904195505836835,1.0977079076826481,0.1956511952541837,0.26436252211519795
EDN1->EDNRB,0.011472114067412664,0.5976102738296105,0.058727044781636706,0.5633442070443554,1.0182905482424371,0.725292957861719,0.049637099605492986,0.15036347997759375
CD34->SELE,0.011745677503233853,0.2991911125029668,0.20224175512208786,0.5055697357658147,0.6309767779763121,0.8189080669804801,0.02252445144918197,0.10810641211701258
RSPO4->LGR5,0.01179820686901345,0.01793354882906717,7.840490044946913e-4,0.3502026851606481,0.48923397891781867,0.5751103170961925,4.736125805553155e-6,8.095771784206242e-4
TAC1->TACR1,0.011798546471988747,0.9153965593605674,0.8587776787343668,0.3685935019564784,0.9208186764622344,0.9367651372161063,0.7066839289935951,0.4523902664095177
PYY->NPY2R,0.012156145961399245,0.4400381421136528,0.5274371337836138,0.45363748321847275,1.4888603449118756,0.9523857220875293,0.15668840866794412,0.2464790168369899
NLGN1->NRXN1,0.01262657062254724,0.09017737826380812,0.4978687308522405,0.4695927096345335,0.5239547016571179,0.8936222140303591,0.036121218153087505,0.13381134401969993
MFNG->NOTCH1,0.012652536271478443,0.8753212660139709,0.15621655027185577,0.4629367534511472,1.0954731622980804,0.760063178267132,0.18970947178907174,0.26212243272070823
IL10->IL10RA,0.012695952524089726,0.8997627762469869,0.9819943367596663,0.5089499512192434,0.8602223919051467,0.943309347839909,0.7753817248272535,0.46739936368652785
IL22->IL10RA,0.012695952524089726,0.8997627762469869,0.7967596200971561,0.5089499512192434,0.8602223919051467,0.8627943371288452,0.6538611043197929,0.437146227722966
FGF5->FGFR4,0.012787256563848493,0.18238235860277485,0.01239074510814453,0.4311101430813905,0.5701073060501715,0.6493430505872563,0.0014903284674091112,0.02442824146363507
FGF9->FGFR4,0.012787256563848493,0.048054025561074076,0.002723439994980148,0.4311101430813905,0.45813176682239076,0.5859892138474089,4.2805266761760096e-5,0.002226908838712128
NRTN->GFRA1,0.013276224591164731,0.0481338627647121,0.022113957801334627,0.540035790042901,0.5592731430769073,0.7185042106564301,9.711432773124768e-5,0.00387342472587238
DLL1->NOTCH1,0.013577341731754622,0.8773740644001857,0.14714608255561956,0.3850175392238428,0.9856309422330659,0.7439704256895804,0.1864226885308019,0.2616015788315778
WNT3->FZD8,0.013865624131243814,0.034175502772798017,0.00513759140095682,0.4812511371386413,0.4481870511323535,0.6960719772565729,2.5064690560250326e-5,0.0019994205681181897
CCL19->CCR7,0.014026589420673807,0.32741211734349207,0.7328680310407819,0.5191236901629278,0.8070052038908171,0.9072362339253007,0.2064440198757225,0.26733966712296847
NPY->PRLHR,0.014107161233413934,0.31183777787065114,0.9188590098620109,0.44589839004919696,0.8003777062588345,0.9886234186234931,0.3141428447467317,0.3273766011116324
TFF2->CXCR4,0.014193950638784258,0.16808822698058523,0.5963594323637196,0.4676823608234186,0.6130609192165295,1.1689410307879176,0.078679496976241,0.18722754901492675
BMP8A->ACVR2A,0.014214775203468921,0.1460667699133963,0.18826219658917498,0.5850221797340285,0.7128083631186743,0.8422116355686189,0.007057008118554936,0.06254893444934438
UTS2->UTS2R,0.014492392053628733,0.6635357573260436,0.7484532652952526,0.4925800164811087,0.7907328476137456,0.8956112363934097,0.4449935165591561,0.3771016178273797
DSC3->DSG1,0.014697813458813047,0.029281704836838895,0.017497183583347287,2.0600585902831092,2.359003429439174,1.6986868233869752,3.872401952998986e-5,0.002226908838712128
DSG1->DSC3,0.014697813458813047,0.029281704836838895,0.017497183583347287,2.0600585902831092,2.359003429439174,1.6986868233869752,3.872401952998986e-5,0.002226908838712128
PVR->PVRIG,0.014701160395388269,0.26876036208079235,0.2977836437016934,0.4537441705186113,1.312395651537084,0.8834156693483313,0.03272855356679912,0.12673640968868052
CCL3L3->CCR5,0.014934673764928963,0.45977981939228796,0.0870486387782663,0.510325694157061,0.7413970065704142,0.7152023433934703,0.029546663751887955,0.12252989033357
WNT3A->FZD5,0.01518366059919296,0.28446547109931153,0.3849410021134453,0.4431768884989258,0.7535587048403728,0.9828803697656131,0.053473751960822186,0.15552715627607136
WNT8A->FZD5,0.01518366059919296,0.28446547109931153,0.3849410021134453,0.4431768884989258,0.7535587048403728,0.9828803697656131,0.053473751960822186,0.15552715627607136
WNT9B->FZD5,0.01518366059919296,0.28446547109931153,0.2271697889650247,0.4431768884989258,0.7535587048403728,0.9327225971626583,0.02436872698091722,0.10810641211701258
PTGS2->CAV1,0.015372192113071614,0.111746272483907,0.16897071347806158,1.762309459432703,1.6874605583030933,1.332915847132675,0.004326297223566799,0.04428748296825123
CNTF->IL6R,0.015557951370791079,0.7480845433194432,0.006009321014472047,0.5310656432187519,1.000029265572545,0.6287086613543563,0.07598566076639518,0.18593273275823205
CRH->CRHR1,0.015586279656621849,0.3794880774035505,0.4736697491888715,0.5585987402285822,1.5765170453191493,1.093876799372858,0.10927589279186803,0.20958386485748962
CTF1->LIFR,0.01568945647160702,0.35634680961962273,0.9972696949355581,0.4789201062421235,1.2766096549580512,1.0194492474598587,0.4027235960932212,0.3605927405661794
ALKAL1->ALK,0.01621449633987626,0.3748461789448184,0.1467911579030141,0.4616880887680159,0.8118607920612781,1.1780031534204092,0.02593204157418188,0.11242442997494485
ALKAL2->ALK,0.01621449633987626,0.8548014794643757,0.24335204495426233,0.4616880887680159,0.971094501427512,1.1349166075728847,0.22989205287756356,0.2761613504925177
CD96->NECTIN1,0.01622408829060129,0.4673414877689409,0.024203767651900243,0.5270275042183281,1.2902783293578421,1.5079965854846638,0.021819670135786427,0.10810641211701258
NECTIN1->CD96,0.01622408829060129,0.4673414877689409,0.024203767651900243,0.5270275042183281,1.2902783293578421,1.5079965854846638,0.021819670135786427,0.10810641211701258
NECTIN2->CD96,0.01622408829060129,0.008781320015378014,0.42018427762270405,0.5270275042183281,0.4735387924929307,1.0590347240528184,0.014705643451535149,0.09031287030408178
MSMP->CCR2,0.016517216526253375,0.3683658319623516,0.5378109594103607,0.5408585411838215,0.7969167665493535,0.8113996366538695,0.1309247792670203,0.22903339764656827
SLIT3->ROBO2,0.016548542127117982,0.037702027757927525,0.06593577286696028,0.4822816572382735,0.5249211608269163,0.7699379541101312,2.8934375231013103e-4,0.007496792550781332
IL24->IL20RA,0.016580630740112734,0.5586473545573336,0.731633480160685,2.010115579633716,1.3276542991237703,1.1002515984278232,0.35754761540498914,0.34044749369248434
CD5L->CD5,0.0167627912885967,0.21470810348160208,0.2629001430941451,0.5748556340444336,0.6750184577202134,0.8518587223241726,0.02013760464424516,0.10431070903361236
CNTN6->NOTCH1,0.017099591562230176,0.8773740644001857,0.36270588162549156,0.3890833224627742,0.9856309422330659,0.828872693543191,0.3226570285067733,0.3288562499446516
DLK2->NOTCH1,0.017099591562230176,0.8773740644001857,0.3757336399275264,0.3890833224627742,0.9856309422330659,0.8408056150502916,0.3317001825120411,0.33265054773349495
CCN3->NOTCH1,0.017099591562230176,0.9171190255698746,0.15456936746405425,0.3890833224627742,0.9804291537415603,0.7621914200194281,0.21476899777899663,0.27176267218649136
RBP3->NOTCH1,0.017099591562230176,0.8773740644001857,0.5072797846802592,0.3890833224627742,0.9856309422330659,0.8838793118687471,0.4266311850673055,0.36965108564764926
BMP10->ENG,0.017238885896646128,0.9626589832445861,0.6502933750146125,0.6142656209118765,1.0359767362421555,0.9308669490957543,0.5969078630003224,0.4223735942522697
GDF2->ENG,0.017238885896646128,0.9626589832445861,0.6220253133048057,0.6142656209118765,1.0359767362421555,0.9218282742489907,0.5760894494426155,0.41847324931868307
BMP4->BMPR1A,0.017248464803850228,0.037406109875038895,0.8052785078289438,1.6844652134344826,0.6129541439576764,1.0770576481602092,0.10598458917019882,0.20958386485748962
TNFSF13->SDC2,0.01752775867764733,0.12810783524854752,0.10659940892615272,0.4550316782200476,0.5668982995533742,0.7287832087503009,0.0026746367712497166,0.03441239740401709
NGF->SORT1,0.017591907664327278,0.013795647354545304,0.014698003070492738,0.5836113134830706,0.4446988525196006,0.6916741352023111,1.631335559389179e-5,0.0017745313851543125
DKK1->KREMEN1,0.017739409314524224,0.002165475141305939,0.01983977075773835,2.129965208177963,2.9492190554065876,1.4081435238605926,1.0463692081933118e-5,0.0013172423460004266
EFNA5->EPHB6,0.017802036046527414,0.4961066978745484,0.3419137008411144,1.719589647555397,1.1065727596172812,1.2890306075527538,0.10447196193927676,0.20869209333832892
BMP4->CFC1,0.01795406628008933,0.24608907635585553,0.3661693401806263,1.6993631308159491,0.767383854362689,1.2774887186350115,0.04171668143846586,0.13921826826692862
IL19->IL20RA,0.017961061823756008,0.40654525334184,0.7349208911202225,1.9973552749356691,1.3755859433686612,1.0996999191054262,0.2577380646151971,0.29682199694829586
IL20->IL20RA,0.017961061823756008,0.5586473545573336,0.731633480160685,1.9973552749356691,1.3276542991237703,1.1002515984278232,0.3585318123621728,0.34062459375116794
IL26->IL20RA,0.017961061823756008,0.5586473545573336,0.731633480160685,1.9973552749356691,1.3276542991237703,1.1002515984278232,0.3585318123621728,0.34062459375116794
EREG->ERBB4,0.018032353179601168,0.0022019144053473383,0.25929048512465225,2.114083788971433,2.529678890856508,1.0111091479983474,0.0036400685753913095,0.04109005922869255
WNT2->FZD5,0.01831243551540951,0.28446547109931153,0.2975486409717797,0.4562681471902573,0.7535587048403728,0.9867847972306302,0.03605881056137147,0.13381134401969993
CCL8->CCR5,0.018386864648182843,0.4903870707728978,0.09372490781657128,0.5702245760750385,1.0482011020550546,0.6688837643779623,0.0364516676485887,0.13460797783078288
SEMA6A->PLXNA4,0.018521951922189972,0.0368397657466214,0.020386741520517004,0.5047228195399673,0.49860650415118674,0.6947971396913191,7.243861851845115e-5,0.0030956025450218313
