"","sampleid","types"
"cell_628","P03","EMT"
"cell_629","P03","CAF"
"cell_630","P03","EMT"
"cell_631","P03","EMT"
"cell_632","P03","EMT"
"cell_633","P03","EMT"
"cell_634","P03","Endo"
"cell_635","P03","EMT"
"cell_636","P03","CAF"
"cell_637","P03","Endo"
"cell_638","P03","EMT"
"cell_639","P03","EMT"
"cell_640","P03","EMT"
"cell_641","P03","EMT"
"cell_642","P03","EMT"
"cell_643","P03","EMT"
"cell_644","P03","EMT"
"cell_645","P03","CAF"
"cell_646","P03","EMT"
"cell_647","P03","EMT"
"cell_648","P03","EMT"
"cell_649","P03","EMT"
"cell_650","P03","EMT"
"cell_651","P03","EMT"
"cell_652","P03","EMT"
"cell_653","P03","EMT"
"cell_654","P03","EMT"
"cell_655","P03","EMT"
"cell_656","P03","EMT"
"cell_657","P03","EMT"
"cell_658","P03","EMT"
"cell_659","P03","EMT"
"cell_660","P03","EMT"
"cell_661","P03","EMT"
"cell_662","P03","EMT"
"cell_663","P03","CAF"
"cell_664","P03","EMT"
"cell_665","P03","EMT"
"cell_666","P03","ETC"
"cell_667","P03","EMT"
"cell_668","P03","EMT"
"cell_669","P03","EMT"
"cell_670","P03","ETC"
"cell_671","P03","EMT"
"cell_672","P03","EMT"
"cell_673","P03","EMT"
"cell_674","P03","CAF"
"cell_675","P03","EMT"
"cell_676","P03","EMT"
"cell_677","P03","EMT"
"cell_678","P03","EMT"
"cell_679","P03","EMT"
"cell_680","P03","EMT"
"cell_681","P03","EMT"
"cell_682","P03","EMT"
"cell_683","P03","EMT"
"cell_684","P03","EMT"
"cell_685","P03","EMT"
"cell_686","P03","EMT"
"cell_687","P03","EMT"
"cell_688","P03","EMT"
"cell_689","P03","EMT"
"cell_690","P03","EMT"
"cell_691","P03","EMT"
"cell_692","P03","EMT"
"cell_693","P03","TAM"
"cell_694","P03","EMT"
"cell_695","P03","CAF"
"cell_696","P03","EMT"
"cell_697","P03","EMT"
"cell_698","P03","EMT"
"cell_699","P03","EMT"
"cell_700","P03","CAF"
"cell_701","P03","EMT"
"cell_702","P03","EMT"
"cell_703","P03","EMT"
"cell_704","P03","EMT"
"cell_705","P03","EMT"
"cell_706","P03","TAM"
"cell_707","P03","EMT"
"cell_708","P03","CAF"
"cell_709","P03","EMT"
"cell_710","P03","EMT"
"cell_711","P03","EMT"
"cell_712","P03","EMT"
"cell_713","P03","EMT"
"cell_714","P03","CAF"
"cell_715","P03","EMT"
"cell_716","P03","EMT"
"cell_717","P03","CAF"
"cell_718","P03","EMT"
"cell_719","P03","EMT"
"cell_720","P03","EMT"
"cell_721","P03","CAF"
"cell_722","P03","EMT"
"cell_723","P03","CAF"
"cell_724","P03","CAF"
"cell_725","P03","ETC"
"cell_726","P03","EMT"
"cell_727","P03","EMT"
"cell_728","P03","EMT"
"cell_729","P03","EMT"
"cell_730","P03","EMT"
"cell_731","P03","EMT"
"cell_732","P03","CAF"
"cell_733","P03","EMT"
"cell_734","P03","CAF"
"cell_735","P03","EMT"
"cell_736","P03","EMT"
"cell_737","P03","EMT"
"cell_738","P03","EMT"
"cell_739","P03","CAF"
"cell_740","P03","EMT"
"cell_741","P03","Endo"
"cell_742","P03","EMT"
"cell_743","P03","EMT"
"cell_744","P03","EMT"
"cell_745","P03","TAM"
"cell_746","P03","EMT"
"cell_747","P03","CAF"
"cell_748","P03","EMT"
"cell_749","P03","EMT"
"cell_750","P03","EMT"
"cell_751","P03","EMT"
"cell_752","P03","EMT"
"cell_753","P03","EMT"
"cell_754","P03","EMT"
"cell_755","P03","EMT"
"cell_756","P03","EMT"
"cell_757","P03","ETC"
"cell_758","P03","EMT"
"cell_759","P03","EMT"
"cell_760","P03","EMT"
"cell_761","P03","CAF"
"cell_762","P03","EMT"
"cell_763","P03","EMT"
"cell_764","P03","EMT"
"cell_765","P03","EMT"
"cell_766","P03","EMT"
"cell_767","P03","EMT"
"cell_768","P03","EMT"
"cell_769","P03","EMT"
"cell_770","P03","Endo"
"cell_771","P03","EMT"
"cell_772","P03","EMT"
"cell_773","P03","EMT"
"cell_774","P03","EMT"
"cell_775","P03","EMT"
"cell_776","P03","EMT"
"cell_777","P03","EMT"
"cell_778","P03","EMT"
"cell_779","P03","EMT"
"cell_780","P03","EMT"
"cell_781","P03","EMT"
"cell_782","P03","EMT"
"cell_783","P03","EMT"
"cell_784","P03","EMT"
"cell_785","P03","EMT"
"cell_786","P03","EMT"
"cell_787","P03","EMT"
"cell_788","P03","ETC"
"cell_789","P03","EMT"
"cell_790","P03","EMT"
"cell_791","P03","EMT"
"cell_792","P03","ETC"
"cell_793","P03","EMT"
"cell_794","P03","CAF"
"cell_795","P03","EMT"
"cell_796","P03","EMT"
"cell_797","P03","EMT"
"cell_798","P03","CAF"
"cell_799","P03","EMT"
"cell_800","P03","EMT"
"cell_801","P03","EMT"
"cell_802","P03","CAF"
"cell_803","P03","EMT"
"cell_804","P03","EMT"
"cell_805","P03","CAF"
"cell_806","P03","EMT"
"cell_807","P03","EMT"
"cell_808","P03","EMT"
"cell_809","P03","EMT"
"cell_810","P03","EMT"
"cell_811","P03","Endo"
"cell_812","P03","EMT"
"cell_813","P03","CAF"
"cell_814","P03","EMT"
"cell_815","P03","EMT"
"cell_816","P03","Endo"
"cell_817","P03","CAF"
"cell_818","P03","CAF"
"cell_819","P03","EMT"
"cell_820","P03","EMT"
"cell_821","P03","EMT"
"cell_822","P03","EMT"
"cell_823","P03","EMT"
"cell_824","P03","EMT"
"cell_825","P03","EMT"
"cell_826","P03","CAF"
"cell_827","P03","EMT"
"cell_828","P03","EMT"
"cell_829","P03","CAF"
"cell_830","P03","CAF"
"cell_831","P04","CAF"
"cell_832","P04","ETC"
"cell_833","P04","CAF"
"cell_834","P04","ETC"
"cell_835","P04","ETC"
"cell_836","P04","ETC"
"cell_837","P04","ETC"
"cell_838","P04","ETC"
"cell_839","P04","ETC"
"cell_840","P04","CAF"
"cell_841","P04","CAF"
"cell_842","P04","ETC"
"cell_843","P04","ETC"
"cell_844","P04","ETC"
"cell_845","P04","ETC"
"cell_846","P04","ETC"
"cell_847","P04","ETC"
"cell_848","P04","CAF"
"cell_849","P04","EMT"
"cell_850","P04","ETC"
"cell_851","P04","ETC"
"cell_852","P04","ETC"
"cell_853","P04","ETC"
"cell_854","P04","ETC"
"cell_855","P04","ETC"
"cell_856","P04","ETC"
"cell_857","P04","ETC"
"cell_858","P04","CAF"
"cell_859","P04","ETC"
"cell_860","P04","ETC"
"cell_861","P04","ETC"
"cell_862","P04","ETC"
"cell_863","P04","ETC"
"cell_864","P04","ETC"
"cell_865","P04","CAF"
"cell_866","P04","ETC"
"cell_867","P04","ETC"
"cell_868","P04","CAF"
"cell_869","P04","ETC"
"cell_870","P04","ETC"
"cell_871","P04","CAF"
"cell_872","P04","EMT"
"cell_873","P04","ETC"
"cell_874","P04","ETC"
"cell_875","P04","ETC"
"cell_876","P04","ETC"
"cell_877","P04","ETC"
"cell_878","P04","ETC"
"cell_879","P04","CAF"
"cell_880","P04","ETC"
"cell_881","P04","ETC"
"cell_882","P04","ETC"
"cell_883","P04","ETC"
"cell_884","P04","ETC"
"cell_885","P04","ETC"
"cell_886","P04","ETC"
"cell_887","P04","ETC"
"cell_888","P04","ETC"
"cell_889","P04","CAF"
"cell_890","P04","ETC"
"cell_891","P04","CAF"
"cell_892","P04","ETC"
"cell_893","P04","ETC"
"cell_894","P04","ETC"
"cell_895","P04","ETC"
"cell_896","P04","CAF"
"cell_897","P04","ETC"
"cell_898","P04","ETC"
"cell_899","P04","CAF"
"cell_900","P04","ETC"
"cell_901","P04","ETC"
"cell_902","P04","ETC"
"cell_903","P04","ETC"
"cell_904","P04","ETC"
"cell_905","P04","ETC"
"cell_906","P04","ETC"
"cell_907","P04","ETC"
"cell_908","P04","ETC"
"cell_909","P04","ETC"
"cell_910","P04","ETC"
"cell_911","P04","ETC"
"cell_912","P04","ETC"
"cell_913","P04","CAF"
"cell_914","P04","CAF"
"cell_915","P04","ETC"
"cell_916","P04","ETC"
"cell_917","P04","ETC"
"cell_918","P04","CAF"
"cell_919","P04","ETC"
"cell_920","P04","ETC"
"cell_921","P04","CAF"
"cell_922","P04","CAF"
"cell_923","P04","ETC"
"cell_924","P04","CAF"
"cell_925","P04","ETC"
"cell_926","P04","CAF"
"cell_927","P04","CAF"
"cell_928","P04","CAF"
"cell_929","P04","ETC"
"cell_930","P04","ETC"
"cell_931","P04","CAF"
"cell_932","P04","ETC"
"cell_933","P04","ETC"
"cell_934","P04","ETC"
"cell_935","P04","ETC"
"cell_936","P04","CAF"
"cell_937","P04","CAF"
"cell_938","P04","ETC"
"cell_939","P04","ETC"
"cell_940","P04","ETC"
"cell_941","P04","CAF"
"cell_942","P04","ETC"
"cell_943","P04","CAF"
"cell_944","P04","ETC"
"cell_945","P04","ETC"
"cell_946","P04","ETC"
"cell_947","P04","CAF"
"cell_948","P04","CAF"
"cell_949","P04","ETC"
"cell_950","P04","ETC"
"cell_951","P04","ETC"
"cell_952","P04","ETC"
"cell_953","P04","CAF"
"cell_954","P04","ETC"
"cell_955","P04","ETC"
"cell_956","P04","ETC"
"cell_957","P04","ETC"
"cell_958","P04","ETC"
"cell_959","P04","CAF"
"cell_960","P04","ETC"
"cell_961","P04","EMT"
"cell_962","P04","EMT"
"cell_963","P04","ETC"
"cell_964","P04","ETC"
"cell_965","P04","ETC"
"cell_966","P04","ETC"
"cell_967","P04","ETC"
"cell_968","P04","EMT"
"cell_969","P04","ETC"
"cell_970","P04","ETC"
"cell_971","P04","ETC"
"cell_972","P04","ETC"
"cell_973","P04","ETC"
"cell_974","P04","ETC"
"cell_975","P04","ETC"
"cell_976","P04","ETC"
"cell_977","P04","ETC"
"cell_978","P04","ETC"
"cell_979","P04","ETC"
"cell_980","P04","ETC"
"cell_981","P04","ETC"
"cell_982","P04","ETC"
"cell_983","P04","ETC"
"cell_984","P04","ETC"
"cell_985","P04","ETC"
"cell_986","P04","CAF"
"cell_987","P04","CAF"
"cell_988","P04","ETC"
"cell_989","P04","ETC"
"cell_990","P04","ETC"
"cell_991","P04","ETC"
"cell_992","P04","CAF"
"cell_993","P04","ETC"
"cell_994","P04","CAF"
"cell_995","P04","ETC"
"cell_996","P04","ETC"
"cell_997","P04","ETC"
