"","sampleid","types"
"cell_5999","P10","ETC"
"cell_6000","P10","TAM"
"cell_6001","P10","ETC"
"cell_6002","P10","ETC"
"cell_6003","P10","CAF"
"cell_6004","P10","ETC"
"cell_6005","P10","ETC"
"cell_6006","P10","ETC"
"cell_6007","P10","ETC"
"cell_6008","P10","ETC"
"cell_6009","P10","ETC"
"cell_6010","P10","ETC"
"cell_6011","P10","ETC"
"cell_6012","P10","ETC"
"cell_6013","P10","ETC"
"cell_6014","P10","ETC"
"cell_6015","P10","ETC"
"cell_6016","P10","CAF"
"cell_6017","P10","DC"
"cell_6018","P10","ETC"
"cell_6019","P10","ETC"
"cell_6020","P10","CAF"
"cell_6021","P10","ETC"
"cell_6022","P10","ETC"
"cell_6023","P10","ETC"
"cell_6024","P10","ETC"
"cell_6025","P10","ETC"
"cell_6026","P10","ETC"
"cell_6027","P10","ETC"
"cell_6028","P10","ETC"
"cell_6029","P10","ETC"
"cell_6030","P10","ETC"
"cell_6031","P10","DC"
"cell_6032","P10","ETC"
"cell_6033","P10","ETC"
"cell_6034","P10","ETC"
"cell_6035","P10","TAM"
"cell_6036","P10","ETC"
"cell_6037","P10","ETC"
"cell_6038","P10","ETC"
"cell_6039","P10","ETC"
"cell_6040","P10","ETC"
"cell_6041","P10","ETC"
"cell_6042","P10","ETC"
"cell_6043","P10","ETC"
"cell_6044","P10","ETC"
"cell_6045","P10","ETC"
"cell_6046","P10","CAF"
"cell_6047","P10","ETC"
"cell_6048","P10","ETC"
"cell_6049","P10","ETC"
"cell_6050","P10","ETC"
"cell_6051","P10","TAM"
"cell_6052","P10","ETC"
"cell_6053","P10","ETC"
"cell_6054","P10","ETC"
"cell_6055","P10","ETC"
"cell_6056","P10","CAF"
"cell_6057","P10","ETC"
"cell_6058","P10","ETC"
"cell_6059","P10","ETC"
"cell_6060","P10","ETC"
"cell_6061","P10","ETC"
"cell_6062","P10","ETC"
"cell_6063","P10","ETC"
"cell_6064","P10","ETC"
"cell_6065","P10","DC"
"cell_6066","P10","TAM"
"cell_6067","P10","ETC"
"cell_6068","P10","ETC"
"cell_6069","P10","ETC"
"cell_6070","P10","DC"
"cell_6071","P10","ETC"
"cell_6072","P10","CAF"
"cell_6073","P10","ETC"
"cell_6074","P10","ETC"
"cell_6075","P10","ETC"
"cell_6076","P10","ETC"
"cell_6077","P10","ETC"
"cell_6078","P10","ETC"
"cell_6079","P10","DC"
"cell_6080","P10","ETC"
"cell_6081","P10","CAF"
"cell_6082","P10","CAF"
"cell_6083","P10","ETC"
"cell_6084","P10","ETC"
"cell_6085","P10","ETC"
"cell_6086","P10","ETC"
"cell_6087","P10","ETC"
"cell_6088","P10","ETC"
"cell_6089","P10","ETC"
"cell_6090","P10","ETC"
"cell_6091","P10","CAF"
"cell_6092","P10","ETC"
"cell_6093","P10","ETC"
"cell_6094","P10","ETC"
"cell_6095","P10","ETC"
"cell_6096","P10","ETC"
"cell_6097","P10","ETC"
"cell_6098","P10","ETC"
"cell_6099","P10","CAF"
"cell_6100","P10","ETC"
"cell_6101","P10","CAF"
"cell_6102","P10","ETC"
"cell_6103","P10","CAF"
"cell_6104","P10","ETC"
"cell_6105","P10","ETC"
"cell_6106","P10","ETC"
"cell_6107","P10","ETC"
"cell_6108","P10","ETC"
"cell_6109","P10","ETC"
"cell_6110","P10","ETC"
"cell_6111","P10","TAM"
"cell_6112","P10","ETC"
"cell_6113","P10","ETC"
"cell_6114","P10","ETC"
"cell_6115","P10","ETC"
"cell_6116","P10","ETC"
"cell_6117","P10","ETC"
"cell_6118","P10","ETC"
"cell_6119","P10","ETC"
"cell_6120","P10","ETC"
"cell_6121","P10","ETC"
"cell_6122","P10","ETC"
"cell_6123","P10","ETC"
"cell_6124","P10","ETC"
"cell_6125","P10","CAF"
"cell_6126","P10","ETC"
"cell_6127","P10","ETC"
"cell_6128","P10","CAF"
"cell_6129","P10","ETC"
"cell_6130","P10","ETC"
"cell_6131","P10","CAF"
"cell_6132","P10","ETC"
"cell_6133","P10","ETC"
"cell_6134","P10","ETC"
"cell_6135","P10","ETC"
"cell_6136","P10","ETC"
"cell_6137","P10","ETC"
"cell_6138","P10","ETC"
"cell_6139","P10","ETC"
"cell_6140","P10","ETC"
"cell_6141","P10","ETC"
"cell_6142","P10","ETC"
"cell_6143","P10","ETC"
"cell_6144","P10","ETC"
"cell_6145","P10","ETC"
"cell_6146","P10","CAF"
"cell_6147","P10","ETC"
"cell_6148","P10","CAF"
"cell_6149","P10","TAM"
"cell_6150","P10","ETC"
"cell_6151","P10","ETC"
"cell_6152","P10","ETC"
"cell_6153","P10","ETC"
"cell_6154","P10","CAF"
"cell_6155","P10","ETC"
"cell_6156","P10","ETC"
"cell_6157","P10","ETC"
"cell_6158","P10","ETC"
"cell_6159","P10","ETC"
"cell_6160","P10","ETC"
"cell_6161","P10","ETC"
"cell_6162","P10","ETC"
"cell_6163","P10","ETC"
"cell_6164","P10","ETC"
"cell_6165","P10","CAF"
"cell_6166","P10","ETC"
"cell_6167","P10","CAF"
"cell_6168","P10","ETC"
"cell_6169","P10","ETC"
"cell_6170","P10","ETC"
"cell_6171","P10","ETC"
"cell_6172","P10","ETC"
"cell_6173","P10","ETC"
"cell_6174","P10","ETC"
"cell_6175","P10","ETC"
"cell_6176","P10","ETC"
"cell_6177","P10","ETC"
"cell_6178","P10","CAF"
"cell_6179","P10","ETC"
"cell_6180","P10","ETC"
"cell_6181","P10","ETC"
"cell_6182","P10","ETC"
"cell_6183","P10","ETC"
"cell_6184","P10","ETC"
"cell_6185","P10","ETC"
"cell_6186","P10","ETC"
"cell_6187","P10","ETC"
"cell_6188","P10","ETC"
"cell_6189","P10","ETC"
"cell_6190","P10","ETC"
"cell_6191","P10","ETC"
"cell_6192","P10","ETC"
"cell_6193","P10","ETC"
"cell_6194","P10","ETC"
"cell_6195","P10","ETC"
"cell_6196","P10","ETC"
"cell_6197","P10","ETC"
"cell_6198","P10","ETC"
"cell_6199","P10","ETC"
"cell_6200","P10","ETC"
"cell_6201","P10","ETC"
"cell_6202","P10","CAF"
"cell_6203","P10","ETC"
"cell_6204","P10","ETC"
"cell_6205","P10","ETC"
"cell_6206","P10","TAM"
"cell_6207","P10","ETC"
"cell_6208","P10","ETC"
"cell_6209","P10","ETC"
"cell_6210","P10","ETC"
"cell_6211","P10","ETC"
"cell_6212","P10","ETC"
"cell_6213","P10","ETC"
"cell_6214","P10","TAM"
"cell_6215","P10","ETC"
"cell_6216","P10","TAM"
"cell_6217","P10","ETC"
"cell_6218","P10","ETC"
"cell_6219","P10","TAM"
"cell_6220","P10","ETC"
"cell_6221","P10","ETC"
"cell_6222","P10","ETC"
"cell_6223","P10","ETC"
"cell_6224","P10","ETC"
"cell_6225","P10","CAF"
"cell_6226","P10","ETC"
"cell_6227","P10","ETC"
"cell_6228","P10","ETC"
"cell_6229","P10","ETC"
"cell_6230","P10","ETC"
"cell_6231","P10","ETC"
"cell_6232","P10","ETC"
"cell_6233","P10","ETC"
"cell_6234","P10","ETC"
"cell_6235","P10","CAF"
"cell_6236","P10","ETC"
"cell_6237","P10","ETC"
"cell_6238","P10","ETC"
"cell_6239","P10","ETC"
"cell_6240","P10","ETC"
"cell_6241","P10","ETC"
"cell_6242","P10","ETC"
"cell_6243","P10","ETC"
"cell_6244","P10","DC"
"cell_6245","P10","ETC"
"cell_6246","P10","ETC"
"cell_6247","P10","ETC"
"cell_6248","P10","ETC"
"cell_6249","P10","ETC"
"cell_6250","P10","ETC"
"cell_6251","P10","ETC"
"cell_6252","P10","ETC"
"cell_6253","P10","ETC"
"cell_6254","P10","ETC"
"cell_6255","P10","ETC"
"cell_6256","P10","ETC"
"cell_6257","P10","ETC"
"cell_6258","P10","ETC"
"cell_6259","P10","ETC"
"cell_6260","P10","ETC"
"cell_6261","P10","ETC"
"cell_6262","P10","ETC"
"cell_6263","P10","ETC"
"cell_6264","P10","ETC"
"cell_6265","P10","ETC"
"cell_6266","P10","CAF"
"cell_6267","P10","CAF"
"cell_6268","P10","ETC"
"cell_6269","P10","ETC"
"cell_6270","P10","ETC"
"cell_6271","P10","CAF"
"cell_6272","P10","ETC"
"cell_6273","P10","ETC"
"cell_6274","P10","ETC"
"cell_6275","P10","ETC"
"cell_6276","P10","ETC"
"cell_6277","P10","ETC"
"cell_6278","P10","ETC"
"cell_6279","P10","ETC"
"cell_6280","P10","ETC"
"cell_6281","P10","ETC"
"cell_6282","P10","ETC"
"cell_6283","P10","ETC"
"cell_6284","P10","ETC"
"cell_6285","P10","ETC"
"cell_6286","P10","ETC"
"cell_6287","P10","CAF"
"cell_6288","P10","ETC"
"cell_6289","P10","ETC"
"cell_6290","P10","ETC"
"cell_6291","P10","ETC"
"cell_6292","P10","CAF"
"cell_6293","P10","CAF"
"cell_6294","P10","ETC"
"cell_6295","P10","ETC"
"cell_6296","P10","CAF"
"cell_6297","P10","ETC"
"cell_6298","P10","ETC"
"cell_6299","P10","ETC"
"cell_6300","P10","ETC"
"cell_6301","P10","ETC"
"cell_6302","P10","CAF"
"cell_6303","P10","ETC"
"cell_6304","P10","ETC"
"cell_6305","P10","TAM"
"cell_6306","P10","ETC"
"cell_6307","P10","ETC"
"cell_6308","P10","CAF"
"cell_6309","P10","ETC"
"cell_6310","P10","ETC"
"cell_6311","P10","CAF"
"cell_6312","P10","ETC"
"cell_6313","P10","ETC"
"cell_6314","P10","ETC"
"cell_6315","P10","ETC"
"cell_6316","P10","ETC"
"cell_6317","P10","ETC"
"cell_6318","P10","ETC"
"cell_6319","P10","ETC"
"cell_6320","P10","ETC"
"cell_6321","P10","ETC"
"cell_6322","P10","ETC"
"cell_6323","P10","DC"
"cell_6324","P10","ETC"
"cell_6325","P10","ETC"
"cell_6326","P10","ETC"
"cell_6327","P10","ETC"
"cell_6328","P10","ETC"
"cell_6329","P10","ETC"
"cell_6330","P10","ETC"
"cell_6331","P10","ETC"
"cell_6332","P10","ETC"
"cell_6333","P10","ETC"
"cell_6334","P10","CAF"
"cell_6335","P10","ETC"
"cell_6336","P10","TAM"
"cell_6337","P10","ETC"
"cell_6338","P10","ETC"
"cell_6339","P10","ETC"
"cell_6340","P10","ETC"
"cell_6341","P10","ETC"
"cell_6342","P10","ETC"
"cell_6343","P10","ETC"
"cell_6344","P10","ETC"
"cell_6345","P10","ETC"
"cell_6346","P10","ETC"
"cell_6347","P10","ETC"
"cell_6348","P10","ETC"
"cell_6349","P10","ETC"
"cell_6350","P10","CAF"
"cell_6351","P10","ETC"
"cell_6352","P10","ETC"
"cell_6353","P10","ETC"
"cell_6354","P10","ETC"
"cell_6355","P10","ETC"
"cell_6356","P10","TAM"
"cell_6357","P10","ETC"
"cell_6358","P10","ETC"
"cell_6359","P10","TAM"
"cell_6360","P10","ETC"
"cell_6361","P10","CAF"
"cell_6362","P10","CAF"
"cell_6363","P10","ETC"
"cell_6364","P10","CAF"
"cell_6365","P10","ETC"
"cell_6366","P10","CAF"
"cell_6367","P10","ETC"
"cell_6368","P10","ETC"
"cell_6369","P10","ETC"
"cell_6370","P10","ETC"
"cell_6371","P10","ETC"
"cell_6372","P10","DC"
"cell_6373","P10","ETC"
"cell_6374","P10","ETC"
"cell_6375","P10","CAF"
"cell_6376","P10","ETC"
"cell_6377","P10","ETC"
"cell_6378","P10","ETC"
"cell_6379","P10","ETC"
"cell_6380","P10","ETC"
"cell_6381","P10","ETC"
"cell_6382","P10","TAM"
"cell_6383","P10","ETC"
"cell_6384","P10","ETC"
"cell_6385","P10","ETC"
"cell_6386","P10","ETC"
"cell_6387","P10","ETC"
"cell_6388","P10","TAM"
"cell_6389","P10","ETC"
"cell_6390","P10","ETC"
"cell_6391","P10","ETC"
"cell_6392","P10","ETC"
"cell_6393","P10","ETC"
"cell_6394","P10","ETC"
"cell_6395","P10","ETC"
"cell_6396","P10","ETC"
"cell_6397","P10","ETC"
"cell_6398","P10","ETC"
"cell_6399","P10","ETC"
"cell_6400","P10","ETC"
"cell_6401","P10","ETC"
"cell_6402","P10","ETC"
"cell_6403","P10","ETC"
"cell_6404","P10","ETC"
"cell_6405","P10","ETC"
"cell_6406","P10","ETC"
"cell_6407","P10","ETC"
"cell_6408","P10","ETC"
"cell_6409","P10","ETC"
"cell_6410","P10","ETC"
"cell_6411","P10","ETC"
"cell_6412","P10","DC"
"cell_6413","P10","ETC"
"cell_6414","P10","ETC"
"cell_6415","P10","ETC"
"cell_6416","P10","CAF"
"cell_6417","P10","ETC"
"cell_6418","P10","ETC"
"cell_6419","P10","ETC"
"cell_6420","P10","ETC"
"cell_6421","P10","CAF"
"cell_6422","P10","TAM"
"cell_6423","P10","ETC"
"cell_6424","P10","ETC"
"cell_6425","P10","ETC"
"cell_6426","P10","ETC"
"cell_6427","P10","ETC"
"cell_6428","P10","ETC"
"cell_6429","P10","TAM"
"cell_6430","P10","ETC"
"cell_6431","P10","ETC"
"cell_6432","P10","ETC"
"cell_6433","P10","ETC"
"cell_6434","P10","ETC"
"cell_6435","P10","ETC"
"cell_6436","P10","ETC"
"cell_6437","P10","ETC"
"cell_6438","P10","ETC"
"cell_6439","P10","CAF"
"cell_6440","P10","ETC"
"cell_6441","P10","ETC"
"cell_6442","P10","ETC"
"cell_6443","P10","ETC"
"cell_6444","P10","ETC"
"cell_6445","P10","ETC"
"cell_6446","P10","ETC"
"cell_6447","P10","CAF"
"cell_6448","P10","ETC"
"cell_6449","P10","CAF"
"cell_6450","P10","ETC"
"cell_6451","P10","ETC"
"cell_6452","P10","ETC"
"cell_6453","P10","ETC"
"cell_6454","P10","CAF"
"cell_6455","P10","ETC"
"cell_6456","P10","ETC"
"cell_6457","P10","ETC"
"cell_6458","P10","ETC"
"cell_6459","P10","ETC"
"cell_6460","P10","ETC"
"cell_6461","P10","ETC"
"cell_6462","P10","ETC"
"cell_6463","P10","CAF"
"cell_6464","P10","CAF"
"cell_6465","P10","ETC"
"cell_6466","P10","ETC"
"cell_6467","P10","ETC"
"cell_6468","P10","ETC"
"cell_6469","P10","ETC"
"cell_6470","P10","ETC"
"cell_6471","P10","ETC"
"cell_6472","P10","ETC"
"cell_6473","P10","ETC"
"cell_6474","P10","ETC"
"cell_6475","P10","ETC"
"cell_6476","P10","ETC"
"cell_6477","P10","ETC"
"cell_6478","P10","CAF"
"cell_6479","P10","ETC"
"cell_6480","P10","ETC"
"cell_6481","P10","ETC"
"cell_6482","P10","ETC"
"cell_6483","P10","ETC"
"cell_6484","P10","ETC"
"cell_6485","P10","ETC"
"cell_6486","P10","ETC"
"cell_6487","P10","ETC"
"cell_6488","P10","ETC"
"cell_6489","P10","ETC"
"cell_6490","P10","ETC"
"cell_6491","P10","CAF"
"cell_6492","P10","ETC"
"cell_6493","P10","ETC"
"cell_6494","P10","ETC"
"cell_6495","P10","ETC"
"cell_6496","P10","ETC"
"cell_6497","P10","ETC"
"cell_6498","P10","ETC"
"cell_6499","P10","ETC"
"cell_6500","P10","CAF"
"cell_6501","P10","CAF"
"cell_6502","P10","ETC"
"cell_6503","P10","TAM"
"cell_6504","P10","ETC"
"cell_6505","P10","ETC"
"cell_6506","P10","ETC"
"cell_6507","P10","ETC"
"cell_6508","P10","ETC"
"cell_6509","P10","CAF"
"cell_6510","P10","ETC"
"cell_6511","P10","ETC"
"cell_6512","P10","ETC"
"cell_6513","P10","ETC"
"cell_6514","P10","ETC"
"cell_6515","P10","ETC"
"cell_6516","P10","ETC"
"cell_6517","P10","CAF"
"cell_6518","P10","ETC"
"cell_6519","P10","ETC"
"cell_6520","P10","ETC"
"cell_6521","P10","ETC"
"cell_6522","P10","TAM"
"cell_6523","P10","TIL"
"cell_6524","P10","ETC"
"cell_6525","P10","ETC"
"cell_6526","P10","ETC"
"cell_6527","P10","ETC"
"cell_6528","P10","CAF"
"cell_6529","P10","ETC"
"cell_6530","P10","ETC"
"cell_6531","P10","ETC"
"cell_6532","P10","CAF"
"cell_6533","P10","ETC"
"cell_6534","P10","ETC"
"cell_6535","P10","ETC"
"cell_6536","P10","ETC"
"cell_6537","P10","ETC"
"cell_6538","P10","ETC"
"cell_6539","P10","ETC"
"cell_6540","P10","ETC"
"cell_6541","P10","ETC"
"cell_6542","P10","TAM"
"cell_6543","P10","ETC"
"cell_6544","P10","ETC"
"cell_6545","P10","ETC"
"cell_6546","P10","ETC"
"cell_6547","P10","ETC"
"cell_6548","P10","ETC"
"cell_6549","P10","ETC"
"cell_6550","P10","ETC"
"cell_6551","P10","DC"
"cell_6552","P10","CAF"
"cell_6553","P10","ETC"
"cell_6554","P10","ETC"
"cell_6555","P10","ETC"
"cell_6556","P10","ETC"
"cell_6557","P10","ETC"
"cell_6558","P10","ETC"
"cell_6559","P10","ETC"
"cell_6560","P10","ETC"
"cell_6561","P10","ETC"
"cell_6562","P10","ETC"
"cell_6563","P10","ETC"
"cell_6564","P10","ETC"
"cell_6565","P10","ETC"
"cell_6566","P10","DC"
"cell_6567","P10","ETC"
"cell_6568","P10","ETC"
"cell_6569","P10","ETC"
"cell_6570","P10","ETC"
"cell_6571","P10","ETC"
"cell_6572","P10","ETC"
"cell_6573","P10","ETC"
"cell_6574","P10","ETC"
"cell_6575","P10","ETC"
"cell_6576","P10","CAF"
"cell_6577","P10","ETC"
"cell_6578","P10","ETC"
"cell_6579","P10","ETC"
"cell_6580","P10","ETC"
"cell_6581","P10","ETC"
"cell_6582","P10","ETC"
"cell_6583","P10","ETC"
"cell_6584","P10","ETC"
"cell_6585","P10","TAM"
"cell_6586","P10","ETC"
"cell_6587","P10","ETC"
"cell_6588","P10","ETC"
"cell_6589","P10","CAF"
"cell_6590","P10","CAF"
"cell_6591","P10","ETC"
"cell_6592","P10","ETC"
"cell_6593","P10","CAF"
"cell_6594","P10","ETC"
"cell_6595","P10","ETC"
"cell_6596","P10","ETC"
"cell_6597","P10","ETC"
"cell_6598","P10","ETC"
"cell_6599","P10","ETC"
"cell_6600","P10","ETC"
"cell_6601","P10","ETC"
"cell_6602","P10","ETC"
"cell_6603","P10","ETC"
"cell_6604","P10","ETC"
"cell_6605","P10","ETC"
"cell_6606","P10","TAM"
"cell_6607","P10","ETC"
"cell_6608","P10","DC"
"cell_6609","P10","ETC"
"cell_6610","P10","ETC"
"cell_6611","P10","ETC"
"cell_6612","P10","ETC"
"cell_6613","P10","CAF"
"cell_6614","P10","ETC"
"cell_6615","P10","ETC"
"cell_6616","P10","ETC"
"cell_6617","P10","ETC"
"cell_6618","P10","ETC"
"cell_6619","P10","ETC"
"cell_6620","P10","ETC"
"cell_6621","P10","ETC"
"cell_6622","P10","ETC"
"cell_6623","P10","ETC"
"cell_6624","P10","ETC"
"cell_6625","P10","ETC"
"cell_6626","P10","ETC"
"cell_6627","P10","ETC"
"cell_6628","P10","CAF"
"cell_6629","P10","TAM"
"cell_6630","P10","CAF"
"cell_6631","P10","ETC"
"cell_6632","P10","ETC"
"cell_6633","P10","ETC"
"cell_6634","P10","ETC"
"cell_6635","P10","CAF"
"cell_6636","P10","ETC"
"cell_6637","P10","TAM"
"cell_6638","P10","ETC"
"cell_6639","P10","ETC"
"cell_6640","P10","ETC"
"cell_6641","P10","ETC"
"cell_6642","P10","ETC"
"cell_6643","P10","ETC"
"cell_6644","P10","ETC"
"cell_6645","P10","ETC"
"cell_6646","P10","ETC"
"cell_6647","P10","ETC"
"cell_6648","P10","ETC"
"cell_6649","P10","ETC"
"cell_6650","P10","ETC"
"cell_6651","P10","ETC"
"cell_6652","P10","CAF"
"cell_6653","P10","ETC"
"cell_6654","P10","CAF"
"cell_6655","P10","ETC"
"cell_6656","P10","DC"
"cell_6657","P10","TAM"
"cell_6658","P10","ETC"
"cell_6659","P10","ETC"
"cell_6660","P10","ETC"
"cell_6661","P10","ETC"
"cell_6662","P10","TAM"
"cell_6663","P10","ETC"
"cell_6664","P10","ETC"
"cell_6665","P10","ETC"
"cell_6666","P10","ETC"
"cell_6667","P10","ETC"
"cell_6668","P10","ETC"
"cell_6669","P10","ETC"
"cell_6670","P10","ETC"
"cell_6671","P10","CAF"
"cell_6672","P10","ETC"
"cell_6673","P10","ETC"
"cell_6674","P10","ETC"
"cell_6675","P10","ETC"
"cell_6676","P10","ETC"
"cell_6677","P10","ETC"
"cell_6678","P10","ETC"
"cell_6679","P10","ETC"
"cell_6680","P10","CAF"
"cell_6681","P10","ETC"
"cell_6682","P10","ETC"
"cell_6683","P10","ETC"
"cell_6684","P10","CAF"
"cell_6685","P10","ETC"
"cell_6686","P10","ETC"
"cell_6687","P10","ETC"
"cell_6688","P10","ETC"
"cell_6689","P10","ETC"
"cell_6690","P10","ETC"
"cell_6691","P10","ETC"
"cell_6692","P10","ETC"
"cell_6693","P10","ETC"
"cell_6694","P10","CAF"
"cell_6695","P10","ETC"
"cell_6696","P10","ETC"
"cell_6697","P10","ETC"
"cell_6698","P10","ETC"
"cell_6699","P10","ETC"
"cell_6700","P10","CAF"
"cell_6701","P10","ETC"
"cell_6702","P10","ETC"
"cell_6703","P10","ETC"
"cell_6704","P10","ETC"
"cell_6705","P10","ETC"
"cell_6706","P10","ETC"
"cell_6707","P10","ETC"
"cell_6708","P10","ETC"
"cell_6709","P10","ETC"
"cell_6710","P10","ETC"
"cell_6711","P10","ETC"
"cell_6712","P10","ETC"
"cell_6713","P10","ETC"
"cell_6714","P10","ETC"
"cell_6715","P10","ETC"
"cell_6716","P10","ETC"
"cell_6717","P10","ETC"
"cell_6718","P10","ETC"
"cell_6719","P10","ETC"
"cell_6720","P10","ETC"
"cell_6721","P10","CAF"
"cell_6722","P10","ETC"
"cell_6723","P10","ETC"
"cell_6724","P10","ETC"
"cell_6725","P10","ETC"
"cell_6726","P10","ETC"
"cell_6727","P10","ETC"
"cell_6728","P10","ETC"
"cell_6729","P10","ETC"
"cell_6730","P10","ETC"
"cell_6731","P10","ETC"
"cell_6732","P10","ETC"
"cell_6733","P10","ETC"
"cell_6734","P10","ETC"
"cell_6735","P10","ETC"
"cell_6736","P10","ETC"
"cell_6737","P10","ETC"
"cell_6738","P10","ETC"
"cell_6739","P10","ETC"
"cell_6740","P10","CAF"
"cell_6741","P10","ETC"
"cell_6742","P10","ETC"
"cell_6743","P10","ETC"
"cell_6744","P10","TAM"
"cell_6745","P10","ETC"
"cell_6746","P10","ETC"
"cell_6747","P10","ETC"
"cell_6748","P10","ETC"
"cell_6749","P10","ETC"
"cell_6750","P10","ETC"
"cell_6751","P10","ETC"
"cell_6752","P10","TAM"
"cell_6753","P10","TAM"
"cell_6754","P10","ETC"
"cell_6755","P10","ETC"
"cell_6756","P10","CAF"
"cell_6757","P10","ETC"
"cell_6758","P10","ETC"
"cell_6759","P10","TAM"
"cell_6760","P10","ETC"
"cell_6761","P10","ETC"
"cell_6762","P10","ETC"
"cell_6763","P10","ETC"
"cell_6764","P10","ETC"
"cell_6765","P10","CAF"
"cell_6766","P10","ETC"
"cell_6767","P10","ETC"
"cell_6768","P10","ETC"
"cell_6769","P10","CAF"
"cell_6770","P10","ETC"
"cell_6771","P10","ETC"
"cell_6772","P10","ETC"
"cell_6773","P10","ETC"
"cell_6774","P10","ETC"
"cell_6775","P10","ETC"
"cell_6776","P10","ETC"
"cell_6777","P10","ETC"
"cell_6778","P10","ETC"
"cell_6779","P10","TAM"
"cell_6780","P10","TAM"
"cell_6781","P10","ETC"
"cell_6782","P10","ETC"
"cell_6783","P10","ETC"
"cell_6784","P10","ETC"
"cell_6785","P10","CAF"
"cell_6786","P10","ETC"
"cell_6787","P10","ETC"
"cell_6788","P10","ETC"
"cell_6789","P10","ETC"
"cell_6790","P10","ETC"
"cell_6791","P10","CAF"
"cell_6792","P10","ETC"
"cell_6793","P10","ETC"
"cell_6794","P10","ETC"
"cell_6795","P10","ETC"
"cell_6796","P10","ETC"
"cell_6797","P10","ETC"
"cell_6798","P10","ETC"
"cell_6799","P10","ETC"
"cell_6800","P10","ETC"
"cell_6801","P10","TAM"
"cell_6802","P10","ETC"
"cell_6803","P10","ETC"
"cell_6804","P10","ETC"
"cell_6805","P10","ETC"
"cell_6806","P10","ETC"
"cell_6807","P10","ETC"
"cell_6808","P10","ETC"
"cell_6809","P10","ETC"
"cell_6810","P10","ETC"
"cell_6811","P10","ETC"
"cell_6812","P10","ETC"
"cell_6813","P10","DC"
"cell_6814","P10","ETC"
"cell_6815","P10","ETC"
"cell_6816","P10","ETC"
"cell_6817","P10","ETC"
"cell_6818","P10","ETC"
"cell_6819","P10","ETC"
"cell_6820","P10","ETC"
"cell_6821","P10","ETC"
"cell_6822","P10","ETC"
"cell_6823","P10","ETC"
"cell_6824","P10","ETC"
"cell_6825","P10","ETC"
"cell_6826","P10","ETC"
"cell_6827","P10","ETC"
"cell_6828","P10","CAF"
"cell_6829","P10","ETC"
"cell_6830","P10","ETC"
"cell_6831","P10","ETC"
"cell_6832","P10","ETC"
"cell_6833","P10","ETC"
"cell_6834","P10","CAF"
"cell_6835","P10","ETC"
"cell_6836","P10","ETC"
"cell_6837","P10","ETC"
"cell_6838","P10","ETC"
"cell_6839","P10","TAM"
"cell_6840","P10","ETC"
"cell_6841","P10","ETC"
"cell_6842","P10","ETC"
"cell_6843","P10","ETC"
"cell_6844","P10","ETC"
"cell_6845","P10","ETC"
"cell_6846","P10","ETC"
"cell_6847","P10","ETC"
"cell_6848","P10","TAM"
"cell_6849","P10","ETC"
"cell_6850","P10","ETC"
"cell_6851","P10","ETC"
"cell_6852","P10","ETC"
"cell_6853","P10","TAM"
"cell_6854","P10","ETC"
"cell_6855","P10","ETC"
"cell_6856","P10","ETC"
"cell_6857","P10","ETC"
"cell_6858","P10","CAF"
"cell_6859","P10","ETC"
"cell_6860","P10","CAF"
"cell_6861","P10","ETC"
"cell_6862","P10","ETC"
"cell_6863","P10","ETC"
"cell_6864","P10","ETC"
"cell_6865","P10","ETC"
"cell_6866","P10","ETC"
"cell_6867","P10","TAM"
"cell_6868","P10","ETC"
"cell_6869","P10","ETC"
"cell_6870","P10","ETC"
"cell_6871","P10","CAF"
"cell_6872","P10","ETC"
"cell_6873","P10","ETC"
"cell_6874","P10","TAM"
"cell_6875","P10","ETC"
"cell_6876","P10","ETC"
"cell_6877","P10","CAF"
"cell_6878","P10","CAF"
"cell_6879","P10","ETC"
"cell_6880","P10","ETC"
"cell_6881","P10","ETC"
"cell_6882","P10","ETC"
"cell_6883","P10","ETC"
"cell_6884","P10","ETC"
"cell_6885","P10","TAM"
"cell_6886","P10","ETC"
"cell_6887","P10","ETC"
"cell_6888","P10","ETC"
"cell_6889","P10","DC"
"cell_6890","P10","ETC"
"cell_6891","P10","ETC"
"cell_6892","P10","ETC"
"cell_6893","P10","ETC"
"cell_6894","P10","DC"
"cell_6895","P10","ETC"
"cell_6896","P10","ETC"
"cell_6897","P10","CAF"
"cell_6898","P10","ETC"
"cell_6899","P10","ETC"
"cell_6900","P10","ETC"
"cell_6901","P10","ETC"
"cell_6902","P10","ETC"
"cell_6903","P10","ETC"
"cell_6904","P10","ETC"
"cell_6905","P10","ETC"
"cell_6906","P10","ETC"
"cell_6907","P10","ETC"
"cell_6908","P10","ETC"
"cell_6909","P10","ETC"
"cell_6910","P10","ETC"
"cell_6911","P10","ETC"
"cell_6912","P10","CAF"
"cell_6913","P10","ETC"
"cell_6914","P10","ETC"
"cell_6915","P10","ETC"
"cell_6916","P10","ETC"
"cell_6917","P10","ETC"
"cell_6918","P10","CAF"
"cell_6919","P10","ETC"
"cell_6920","P10","ETC"
"cell_6921","P10","ETC"
"cell_6922","P10","ETC"
"cell_6923","P10","ETC"
"cell_6924","P10","ETC"
"cell_6925","P10","ETC"
"cell_6926","P10","CAF"
"cell_6927","P10","ETC"
"cell_6928","P10","ETC"
"cell_6929","P10","ETC"
"cell_6930","P10","ETC"
"cell_6931","P10","ETC"
