LR,cell_type_pair,number_of_patient
ANXA1->FPR1,ETC->DC,7
ANXA1->FPR1,ETC->EMT,2
ANXA1->FPR1,ETC->Endo,1
ANXA1->FPR1,ETC->ETC,6
ANXA1->FPR1,ETC->TAM,9
ANXA1->FPR1,TAM->CAF,3
ANXA1->FPR1,TAM->DC,7
ANXA1->FPR1,TAM->EMT,2
ANXA1->FPR1,TAM->Endo,1
ANXA1->FPR1,TAM->ETC,6
ANXA1->FPR1,TAM->TAM,9
ANXA1->FPR1,TIL->CAF,3
ANXA1->FPR1,TIL->DC,7
ANXA1->FPR1,TIL->EMT,2
ANXA1->FPR1,TIL->Endo,1
ANXA1->FPR1,TIL->ETC,6
ANXA1->FPR1,TIL->TAM,9
ANXA1->FPR2,CAF->DC,2
ANXA1->FPR2,CAF->EMT,1
ANXA1->FPR2,CAF->ETC,2
ANXA1->FPR2,CAF->TAM,9
ANXA1->FPR2,DC->DC,2
ANXA1->FPR2,DC->EMT,1
ANXA1->FPR2,DC->ETC,2
ANXA1->FPR2,DC->TAM,9
ANXA1->FPR2,EMT->EMT,1
ANXA1->FPR2,EMT->TAM,2
ANXA1->FPR2,Endo->DC,2
ANXA1->FPR2,Endo->EMT,1
ANXA1->FPR2,Endo->ETC,1
ANXA1->FPR2,Endo->TAM,7
ANXA1->FPR2,ETC->DC,2
ANXA1->FPR2,ETC->EMT,1
ANXA1->FPR2,ETC->ETC,2
ANXA1->FPR2,ETC->TAM,9
ANXA1->FPR2,TAM->DC,2
ANXA1->FPR2,TAM->EMT,1
ANXA1->FPR2,TAM->ETC,2
ANXA1->FPR2,TAM->TAM,9
ANXA1->FPR2,TIL->DC,2
ANXA1->FPR2,TIL->EMT,1
ANXA1->FPR2,TIL->ETC,2
ANXA1->FPR2,TIL->TAM,9
ANXA1->FPR3,CAF->CAF,5
ANXA1->FPR3,CAF->DC,7
ANXA1->FPR3,CAF->EMT,1
ANXA1->FPR3,CAF->ETC,5
ANXA1->FPR3,CAF->TAM,8
ANXA1->FPR3,CAF->TIL,1
ANXA1->FPR3,DC->CAF,4
ANXA1->FPR3,DC->DC,7
ANXA1->FPR3,DC->EMT,1
ANXA1->FPR3,DC->ETC,5
ANXA1->FPR3,DC->TAM,8
ANXA1->FPR3,DC->TIL,1
ANXA1->FPR3,EMT->CAF,1
ANXA1->FPR3,EMT->DC,1
ANXA1->FPR3,EMT->EMT,1
ANXA1->FPR3,EMT->TAM,1
ANXA1->FPR3,Endo->CAF,4
ANXA1->FPR3,Endo->DC,6
ANXA1->FPR3,Endo->EMT,1
ANXA1->FPR3,Endo->ETC,4
ANXA1->FPR3,Endo->TAM,6
ANXA1->FPR3,Endo->TIL,1
ANXA1->FPR3,ETC->CAF,5
ANXA1->FPR3,ETC->DC,7
ANXA1->FPR3,ETC->EMT,1
ANXA1->FPR3,ETC->ETC,5
ANXA1->FPR3,ETC->TAM,8
ANXA1->FPR3,ETC->TIL,1
ANXA1->FPR3,TAM->CAF,4
ANXA1->FPR3,TAM->DC,7
ANXA1->FPR3,TAM->EMT,1
ANXA1->FPR3,TAM->ETC,5
ANXA1->FPR3,TAM->TAM,8
ANXA1->FPR3,TAM->TIL,1
ANXA1->FPR3,TIL->CAF,4
ANXA1->FPR3,TIL->DC,7
ANXA1->FPR3,TIL->EMT,1
ANXA1->FPR3,TIL->ETC,5
ANXA1->FPR3,TIL->TAM,8
ANXA1->FPR3,TIL->TIL,1
AREG->EGFR,CAF->CAF,7
AREG->EGFR,CAF->DC,3
AREG->EGFR,CAF->EMT,1
AREG->EGFR,CAF->Endo,4
AREG->EGFR,CAF->ETC,7
AREG->EGFR,CAF->TAM,3
AREG->EGFR,DC->CAF,7
AREG->EGFR,DC->DC,3
AREG->EGFR,DC->EMT,2
AREG->EGFR,DC->Endo,4
AREG->EGFR,DC->ETC,9
AREG->EGFR,DC->TAM,3
AREG->EGFR,EMT->CAF,2
AREG->EGFR,EMT->EMT,3
AREG->EGFR,EMT->Endo,1
AREG->EGFR,EMT->ETC,3
AREG->EGFR,EMT->TAM,1
AREG->EGFR,Endo->CAF,2
AREG->EGFR,Endo->DC,1
AREG->EGFR,Endo->EMT,1
AREG->EGFR,Endo->Endo,2
AREG->EGFR,Endo->ETC,2
AREG->EGFR,Endo->TAM,1
AREG->EGFR,ETC->CAF,8
AREG->EGFR,ETC->DC,3
AREG->EGFR,ETC->EMT,3
AREG->EGFR,ETC->Endo,4
AREG->EGFR,ETC->ETC,10
AREG->EGFR,ETC->TAM,3
AREG->EGFR,TAM->CAF,7
AREG->EGFR,TAM->DC,3
AREG->EGFR,TAM->EMT,1
AREG->EGFR,TAM->Endo,4
AREG->EGFR,TAM->ETC,8
AREG->EGFR,TAM->TAM,3
AREG->EGFR,TIL->CAF,2
AREG->EGFR,TIL->Endo,1
AREG->EGFR,TIL->ETC,3
AREG->EGFR,TIL->TAM,1
CALR->ITGA3,CAF->CAF,9
CALR->ITGA3,CAF->DC,5
CALR->ITGA3,CAF->EMT,3
CALR->ITGA3,CAF->Endo,6
CALR->ITGA3,CAF->ETC,10
CALR->ITGA3,CAF->TAM,4
CALR->ITGA3,CAF->TIL,2
CALR->ITGA3,DC->CAF,8
CALR->ITGA3,DC->DC,5
CALR->ITGA3,DC->EMT,2
CALR->ITGA3,DC->Endo,6
CALR->ITGA3,DC->ETC,9
CALR->ITGA3,DC->TAM,4
CALR->ITGA3,DC->TIL,2
CALR->ITGA3,EMT->CAF,3
CALR->ITGA3,EMT->EMT,3
CALR->ITGA3,EMT->Endo,1
CALR->ITGA3,EMT->ETC,3
CALR->ITGA3,EMT->TAM,1
CALR->ITGA3,EMT->TIL,1
CALR->ITGA3,Endo->CAF,7
CALR->ITGA3,Endo->DC,3
CALR->ITGA3,Endo->EMT,2
CALR->ITGA3,Endo->Endo,6
CALR->ITGA3,Endo->ETC,7
CALR->ITGA3,Endo->TAM,4
CALR->ITGA3,Endo->TIL,2
CALR->ITGA3,ETC->CAF,9
CALR->ITGA3,ETC->DC,5
CALR->ITGA3,ETC->EMT,3
CALR->ITGA3,ETC->Endo,6
CALR->ITGA3,ETC->ETC,10
CALR->ITGA3,ETC->TAM,4
CALR->ITGA3,ETC->TIL,2
CALR->ITGA3,TAM->CAF,8
CALR->ITGA3,TAM->DC,5
CALR->ITGA3,TAM->EMT,2
CALR->ITGA3,TAM->Endo,6
CALR->ITGA3,TAM->ETC,9
CALR->ITGA3,TAM->TAM,4
CALR->ITGA3,TAM->TIL,2
CALR->ITGA3,TIL->CAF,8
CALR->ITGA3,TIL->DC,5
CALR->ITGA3,TIL->EMT,2
CALR->ITGA3,TIL->Endo,6
CALR->ITGA3,TIL->ETC,9
CALR->ITGA3,TIL->TAM,4
CALR->ITGA3,TIL->TIL,2
COL2A1->ITGA2,CAF->CAF,5
COL2A1->ITGA2,CAF->DC,2
COL2A1->ITGA2,CAF->Endo,4
COL2A1->ITGA2,CAF->ETC,5
COL2A1->ITGA2,CAF->TAM,5
COL2A1->ITGA2,CAF->TIL,1
COL2A1->ITGA2,ETC->CAF,2
COL2A1->ITGA2,ETC->DC,2
COL2A1->ITGA2,ETC->Endo,2
COL2A1->ITGA2,ETC->ETC,2
COL2A1->ITGA2,ETC->TAM,2
DKK1->KREMEN1,CAF->CAF,8
DKK1->KREMEN1,CAF->DC,1
DKK1->KREMEN1,CAF->EMT,2
DKK1->KREMEN1,CAF->Endo,2
DKK1->KREMEN1,CAF->ETC,7
DKK1->KREMEN1,CAF->TAM,3
DKK1->KREMEN1,CAF->TIL,1
DKK1->KREMEN1,EMT->CAF,2
DKK1->KREMEN1,EMT->EMT,2
DKK1->KREMEN1,EMT->Endo,1
DKK1->KREMEN1,EMT->ETC,1
DKK1->KREMEN1,Endo->CAF,2
DKK1->KREMEN1,Endo->EMT,1
DKK1->KREMEN1,Endo->Endo,1
DKK1->KREMEN1,Endo->ETC,2
DKK1->KREMEN1,Endo->TAM,1
DKK1->KREMEN1,ETC->CAF,9
DKK1->KREMEN1,ETC->DC,1
DKK1->KREMEN1,ETC->EMT,2
DKK1->KREMEN1,ETC->Endo,2
DKK1->KREMEN1,ETC->ETC,9
DKK1->KREMEN1,ETC->TAM,3
DKK1->KREMEN1,ETC->TIL,1
DKK1->KREMEN1,TAM->CAF,2
DKK1->KREMEN1,TAM->DC,1
DKK1->KREMEN1,TAM->ETC,2
DKK1->KREMEN1,TAM->TAM,1
DKK1->KREMEN2,CAF->CAF,4
DKK1->KREMEN2,CAF->EMT,2
DKK1->KREMEN2,CAF->ETC,6
DKK1->KREMEN2,CAF->TAM,4
DKK1->KREMEN2,EMT->CAF,1
DKK1->KREMEN2,EMT->EMT,2
DKK1->KREMEN2,Endo->EMT,1
DKK1->KREMEN2,Endo->ETC,1
DKK1->KREMEN2,ETC->CAF,4
DKK1->KREMEN2,ETC->EMT,2
DKK1->KREMEN2,ETC->ETC,7
DKK1->KREMEN2,ETC->TAM,4
DKK1->KREMEN2,TAM->ETC,2
DKK1->KREMEN2,TAM->TAM,2
DKK1->LRP4,CAF->CAF,6
DKK1->LRP4,CAF->EMT,1
DKK1->LRP4,CAF->Endo,2
DKK1->LRP4,CAF->ETC,4
DKK1->LRP4,EMT->EMT,1
DKK1->LRP4,EMT->Endo,1
DKK1->LRP4,Endo->CAF,1
DKK1->LRP4,Endo->EMT,1
DKK1->LRP4,Endo->Endo,1
DKK1->LRP4,Endo->ETC,1
DKK1->LRP4,ETC->CAF,7
DKK1->LRP4,ETC->EMT,1
DKK1->LRP4,ETC->Endo,2
DKK1->LRP4,ETC->ETC,5
DKK1->LRP4,TAM->CAF,2
DKK1->LRP4,TAM->ETC,2
DSC1->DSG3,EMT->EMT,1
DSC3->DSG3,CAF->CAF,2
DSC3->DSG3,CAF->DC,1
DSC3->DSG3,CAF->ETC,5
DSC3->DSG3,CAF->TAM,1
DSC3->DSG3,ETC->CAF,1
DSC3->DSG3,ETC->DC,1
DSC3->DSG3,ETC->ETC,5
DSC3->DSG3,ETC->TAM,1
DSC3->DSG3,TAM->CAF,1
DSC3->DSG3,TAM->DC,1
DSC3->DSG3,TAM->ETC,1
DSC3->DSG3,TAM->TAM,1
DSC3->DSG4,CAF->ETC,3
DSC3->DSG4,ETC->ETC,3
DSC3->DSG4,TAM->ETC,1
ECM1->ITGB4,CAF->CAF,9
ECM1->ITGB4,CAF->DC,5
ECM1->ITGB4,CAF->EMT,3
ECM1->ITGB4,CAF->Endo,7
ECM1->ITGB4,CAF->ETC,10
ECM1->ITGB4,CAF->TAM,9
ECM1->ITGB4,CAF->TIL,1
ECM1->ITGB4,DC->CAF,2
ECM1->ITGB4,DC->EMT,1
ECM1->ITGB4,DC->Endo,2
ECM1->ITGB4,DC->ETC,2
ECM1->ITGB4,DC->TAM,2
ECM1->ITGB4,EMT->CAF,3
ECM1->ITGB4,EMT->EMT,3
ECM1->ITGB4,EMT->Endo,2
ECM1->ITGB4,EMT->ETC,3
ECM1->ITGB4,EMT->TAM,2
