LR,cell_type_pair,Patient
TGM2->ITGB1,DC->ETC,P01
TGM2->ITGB1,DC->Endo,P01
TGM2->ITGB1,DC->TIL,P01
TGM2->ITGB1,EMT->CAF,P01
TGM2->ITGB1,EMT->DC,P01
TGM2->ITGB1,EMT->EMT,P01
TGM2->ITGB1,EMT->ETC,P01
TGM2->ITGB1,EMT->Endo,P01
TGM2->ITGB1,EMT->TIL,P01
TGM2->ITGB1,ETC->CAF,P01
TGM2->ITGB1,ETC->DC,P01
TGM2->ITGB1,ETC->EMT,P01
TGM2->ITGB1,ETC->ETC,P01
TGM2->ITGB1,ETC->Endo,P01
TGM2->ITGB1,ETC->TIL,P01
TGM2->ITGB1,Endo->CAF,P01
TGM2->ITGB1,Endo->DC,P01
TGM2->ITGB1,Endo->EMT,P01
TGM2->ITGB1,Endo->ETC,P01
TGM2->ITGB1,Endo->Endo,P01
TGM2->ITGB1,Endo->TIL,P01
TGM2->ITGB1,TIL->CAF,P01
TGM2->ITGB1,TIL->DC,P01
TGM2->ITGB1,TIL->EMT,P01
TGM2->ITGB1,TIL->ETC,P01
TGM2->ITGB1,TIL->Endo,P01
TGM2->ITGB1,TIL->TIL,P01
PODXL->SELL,CAF->DC,P01
PODXL->SELL,CAF->EMT,P01
PODXL->SELL,CAF->Endo,P01
PODXL->SELL,CAF->TIL,P01
PODXL->SELL,EMT->DC,P01
PODXL->SELL,EMT->EMT,P01
PODXL->SELL,EMT->Endo,P01
PODXL->SELL,EMT->TIL,P01
PODXL->SELL,ETC->DC,P01
PODXL->SELL,ETC->EMT,P01
PODXL->SELL,ETC->Endo,P01
PODXL->SELL,ETC->TIL,P01
PODXL->SELL,Endo->DC,P01
PODXL->SELL,Endo->EMT,P01
PODXL->SELL,Endo->Endo,P01
PODXL->SELL,Endo->TIL,P01
WNT3A->FZD6,NA,NA
DKK1->KREMEN2,CAF->CAF,P01
DKK1->KREMEN2,CAF->EMT,P01
DKK1->KREMEN2,EMT->CAF,P01
DKK1->KREMEN2,EMT->EMT,P01
DKK1->KREMEN2,ETC->CAF,P01
DKK1->KREMEN2,ETC->EMT,P01
FGG->ITGA5,CAF->CAF,P01
FGG->ITGA5,CAF->DC,P01
FGG->ITGA5,CAF->EMT,P01
FGG->ITGA5,CAF->ETC,P01
FGG->ITGA5,CAF->Endo,P01
FGG->ITGA5,EMT->CAF,P01
FGG->ITGA5,EMT->DC,P01
FGG->ITGA5,EMT->EMT,P01
FGG->ITGA5,EMT->ETC,P01
FGG->ITGA5,EMT->Endo,P01
FGG->ITGA5,ETC->CAF,P01
FGG->ITGA5,ETC->DC,P01
FGG->ITGA5,ETC->EMT,P01
FGG->ITGA5,ETC->ETC,P01
FGG->ITGA5,ETC->Endo,P01
SEMA3C->NRP1,EMT->CAF,P01
SEMA3C->NRP1,EMT->EMT,P01
SEMA3C->NRP1,EMT->ETC,P01
SEMA3C->NRP1,EMT->Endo,P01
SEMA3C->NRP1,ETC->CAF,P01
SEMA3C->NRP1,ETC->EMT,P01
SEMA3C->NRP1,ETC->ETC,P01
SEMA3C->NRP1,ETC->Endo,P01
SEMA3C->NRP1,Endo->CAF,P01
SEMA3C->NRP1,Endo->EMT,P01
SEMA3C->NRP1,Endo->ETC,P01
SEMA3C->NRP1,Endo->Endo,P01
SEMA3C->NRP1,TAM->CAF,P01
SEMA3C->NRP1,TAM->EMT,P01
SEMA3C->NRP1,TAM->ETC,P01
SEMA3C->NRP1,TAM->Endo,P01
DSC1->DSG3,NA,NA
L1CAM->EGFR,CAF->EMT,P01
L1CAM->EGFR,CAF->ETC,P01
L1CAM->EGFR,EMT->EMT,P01
L1CAM->EGFR,EMT->ETC,P01
L1CAM->EGFR,ETC->EMT,P01
L1CAM->EGFR,ETC->ETC,P01
TGFA->EGFR,ETC->EMT,P01
TGFA->EGFR,ETC->ETC,P01
CHAD->ITGA2,NA,NA
COL2A1->ITGA2,NA,NA
THBS1->ITGB1,CAF->CAF,P01
THBS1->ITGB1,CAF->DC,P01
THBS1->ITGB1,CAF->EMT,P01
THBS1->ITGB1,CAF->ETC,P01
THBS1->ITGB1,CAF->Endo,P01
THBS1->ITGB1,CAF->TIL,P01
THBS1->ITGB1,DC->CAF,P01
THBS1->ITGB1,DC->DC,P01
THBS1->ITGB1,DC->EMT,P01
THBS1->ITGB1,DC->ETC,P01
THBS1->ITGB1,DC->Endo,P01
THBS1->ITGB1,DC->TIL,P01
THBS1->ITGB1,EMT->CAF,P01
THBS1->ITGB1,EMT->DC,P01
THBS1->ITGB1,EMT->EMT,P01
THBS1->ITGB1,EMT->ETC,P01
THBS1->ITGB1,EMT->Endo,P01
THBS1->ITGB1,EMT->TIL,P01
THBS1->ITGB1,ETC->CAF,P01
THBS1->ITGB1,ETC->DC,P01
THBS1->ITGB1,ETC->EMT,P01
THBS1->ITGB1,ETC->ETC,P01
THBS1->ITGB1,ETC->Endo,P01
THBS1->ITGB1,ETC->TIL,P01
THBS1->ITGB1,Endo->CAF,P01
THBS1->ITGB1,Endo->DC,P01
THBS1->ITGB1,Endo->EMT,P01
THBS1->ITGB1,Endo->ETC,P01
THBS1->ITGB1,Endo->Endo,P01
THBS1->ITGB1,Endo->TIL,P01
THBS1->ITGB1,TAM->CAF,P01
THBS1->ITGB1,TAM->DC,P01
THBS1->ITGB1,TAM->EMT,P01
THBS1->ITGB1,TAM->ETC,P01
THBS1->ITGB1,TAM->Endo,P01
THBS1->ITGB1,TAM->TIL,P01
THBS1->ITGB1,TIL->CAF,P01
THBS1->ITGB1,TIL->DC,P01
THBS1->ITGB1,TIL->EMT,P01
THBS1->ITGB1,TIL->ETC,P01
THBS1->ITGB1,TIL->Endo,P01
THBS1->ITGB1,TIL->TIL,P01
FGB->ITGB1,EMT->CAF,P01
FGB->ITGB1,EMT->DC,P01
FGB->ITGB1,EMT->EMT,P01
FGB->ITGB1,EMT->ETC,P01
FGB->ITGB1,EMT->Endo,P01
FGB->ITGB1,EMT->TIL,P01
FGB->ITGB1,ETC->CAF,P01
FGB->ITGB1,ETC->DC,P01
FGB->ITGB1,ETC->EMT,P01
FGB->ITGB1,ETC->ETC,P01
FGB->ITGB1,ETC->Endo,P01
FGB->ITGB1,ETC->TIL,P01
RELN->ITGB1,NA,NA
RTN4->S1PR2,NA,NA
LAMC2->ITGB1,CAF->CAF,P01
LAMC2->ITGB1,CAF->DC,P01
LAMC2->ITGB1,CAF->EMT,P01
LAMC2->ITGB1,CAF->ETC,P01
LAMC2->ITGB1,CAF->Endo,P01
LAMC2->ITGB1,CAF->TIL,P01
LAMC2->ITGB1,EMT->CAF,P01
LAMC2->ITGB1,EMT->DC,P01
LAMC2->ITGB1,EMT->EMT,P01
